gram2000;naomi
grdforce;stvbios
groovef;stvbios
gslgr94u;namcoc75
gslugrsj;namcoc75
gtfore01;iteagle
gtfore02;iteagle
gtfore03;iteagle
gtfore04;iteagle
gtfore05;iteagle
gtfore06;iteagle
gticlub2;kviper
gundamos;chihiro
gundmct;naomi
gundmgd;naomigd
gundmxgd;naomigd
gundzaft;sys246
gunnail;nmk004
gururin;neogeo
gutsn;skns
gwing2;naomi
hachamf;nmk004
hanagumi;stvbios
hatris;ym2608
heartatk;cvs
hero;cvs
hmgeo;naomi
hunchbak;cvs
huncholy;cvs
hvnsgate;coh1001l
hypbbc2p;sys573
hyperath;konamigv
hyperbbc;sys573
ikaruga;naomigd
illvelo;naomi
indytemp;atarisy1
inidv3cy;naomi2
initd;naomi2
initdexp;naomi2
initdv2j;naomi2
initdv3e;naomi2
initdv3j;naomi2
ironclad;neogeo
irrmaze;neogeo
jambo;naomi
jingystm;naomigd
journey;midssio
joyjoy;neogeo
jppyex98;sys573
kabukikl;neogeo
karnovr;neogeo
karous;naomigd
kick;midssio
kick4csh;naomi
kicknkick;sys573
killbld;pgm
killbldp;pgm
kingrt66;naomi2
kingyo;segasp
kinniku;sys256
kinniku2;sys256
kizuna;neogeo
knckhead;namcoc70
kof2000;neogeo
kof2001;neogeo
kof2002;neogeo
kof2003;neogeo
kof94;neogeo
kof95;neogeo
kof96;neogeo
kof97;neogeo
kof98;neogeo
kof99;neogeo
kofnw;awbios
kofxi;awbios
kollon;coh3002t
kotm;neogeo
kotm2;neogeo
kov;pgm
kov2;pgm
kov2p;pgm
kov7sprt;awbios
kovplus;pgm
kovsh;pgm
kovshp;pgm
kovytzy;pgm
kroozr;midssio
kurucham;naomigd
kurufev;aleck64
lacrazyc;konamigv
landhigh;taitotz
lastblad;neogeo
lastbld2;neogeo
lasthope;neogeo
lbowling;neogeo
legendos;neogeo
logger;cvs
lpadv;coh1002m
lresort;neogeo
luptype;naomigd
machbrkr;namcoc75
macross;nmk004
magdrop2;neogeo
magdrop3;neogeo
maglord;neogeo
mamonoro;naomi
marble;atarisy1
martmast;pgm
maruchan;stvbios
marvice;alg_bios
marvice100hz;alg_bios
matrim;neogeo
mausuke;stvbios
maxspeed;awbios
mazan;naomi
mbaa;naomi
megablst;cchip
meltyb;naomigd
meltybld;naomigd
mfjump;coh1002m
mgcldate;taitofx1
mgcldtex;coh1000t
miexchng;neogeo
mkartag2;triforce
mkartagp;triforce
mocapb;kviper
mocapglf;kviper
monkeyba;naomigd
motogp;sys256
mslug;neogeo
mslug2;neogeo
mslug3;neogeo
mslug4;neogeo
mslug5;neogeo
mslug6;awbios
mslugx;neogeo
mtetrisc;aleck64
mushi2k4;naomi
mushi2k5;naomi
mushi2k61;naomi
mushi2k62;naomi
mushik2e;naomi
mushik4e;naomi
mushike;naomi
mustang;nmk004
mutnat;neogeo
mvsc2;naomi
nagano98;konamigv
nam1975;neogeo
nbajamex;acpsx
nbajamex;coh1000a
ncombat;neogeo
ncommand;neogeo
nebulray;namcoc75
neobombe;neogeo
neocup98;neogeo
neodrift;neogeo
neomrdo;neogeo
netchu02;sys246
ngbc;awbios
nightrai;coh3002t
ninjamas;neogeo
nitd;neogeo
numanath;namcoc70
olds;pgm
oldsplus;pgm
ollie;chihiro
opengolf;konamigx
orbatak;3dobios
orlegend;pgm
otenamhf;coh3002t
otenamih;coh3002t
otenki;coh3002t
otrigger;naomi
outfxies;namcoc75
outr2;chihiro
outr2st;chihiro
overtop;neogeo
panicbom;neogeo
panicstr;skns
pblbeach;stvbios
pbobbl2n;neogeo
pbobblen;neogeo
pesta;kpython
peterpak;atarisy1
pgoal;neogeo
pharrier;hikaru
photoy2k;pgm
pjustic;naomi
