11beat;aleck64;
le2u;konamigx;le2
legendos;neogeo;
lhcdb;neogeo;
logger;cvs;
looptris;neogeo;
lpadv;coh1002m;
lresort;neogeo;
lresortp;neogeo;lresort
ltorb;neogeo;
lupinsho;naomigd;
lupinshoo;naomigd;lupinsho
luptype;naomigd;
machbrkr;namcoc75;
machbrkrj;namcoc75;machbrkr
macross;nmk004;
maddog21;alg_bios;maddog2
maddog22;alg_bios;
maddog2;alg_bios;
maddog2_100;alg_bios;maddog2
maddog2_110;alg_bios;maddog2
maddog2_202;alg_bios;maddog2
maddog;alg_bios;
maddog_202;alg_bios;maddog
maddoga;alg_bios;maddog
mag_burn;cedmag;
mag_day;cedmag;
mag_drac;cedmag;
mag_exzi;cedmag;
mag_pdak;cedmag;
mag_time;cedmag;
mag_war;cedmag;
mag_wara;cedmag;mag_war
mag_xain;cedmag;
magdrop2;neogeo;
magdrop3;neogeo;
magdrop3bh;neogeo;magdrop3
magdrop3te;neogeo;magdrop3
maglord;neogeo;
maglordh;neogeo;maglord
mahretsu;neogeo;
maldaiza;crysbios;
mamonoro;naomi;
manicpnc;naomi;
marble2;atarisy1;marble
marble3;atarisy1;marble
marble4;atarisy1;marble
marble5;atarisy1;marble
marble;atarisy1;
marmatcp;pgm;martmast
marmatsc;pgm;martmast
martmast102c;pgm;martmast
martmast103c;pgm;martmast
martmast104c;pgm;martmast
martmast;pgm;
martmastc102;pgm;martmast
martmastc;pgm;martmast
martmasttw;pgm;martmast
maruchan;stvbios;
marukodq;neogeo;
marvice100hz;alg_bios;
marvice;alg_bios;
matrim;neogeo;
matrimbh;neogeo;matrim
matrimbl;neogeo;matrim
mausuke;stvbios;
maxspeed;awbios;
mazan;naomi;
mazanj;naomi;mazan
mazanu;naomi;mazan
mbaa;naomi;
mbaao;naomi;mbaa
md23do;alg3do;
mechatt;ym2608;
mechattj;ym2608;mechatt
mechattu1;ym2608;mechatt
mechattu;ym2608;mechatt
megablst;cchip;
megablstj;cchip;megablst
megablstu;cchip;megablst
meltyb;naomigd;
meltyba;naomigd;meltyb
meltybld;naomigd;
meltyblo;naomigd;meltybld
meltybo;naomigd;meltyb
mf_achas;maxaflex;
mf_bdash;maxaflex;
mf_brist;maxaflex;
mf_flip;maxaflex;
mfjump;coh1002m;
mgcldate;coh1000t;mgcldtex
mgcldate;taitofx1;
mgcldtea;taitofx1;mgcldate
mgcldtex;coh1000t;
micrombc;stvbios;
miexchng;neogeo;
minasan;neogeo;
minnadk;sys246;
mkartag2;triforce;
mkartag2a;triforce;mkartag2
mkartagp;triforce;
mkartagpc;triforce;mkartagp
mocapb;kviper;
mocapbj;kviper;mocapb
mocapglf;kviper;
mok;naomigd;
monkeyba;naomigd;
moshougi;neogeo;
mosyougi;neogeo;
motogp;sys256;
mp_bio;megaplay;
mp_col3;megaplay;
mp_gaxe2;megaplay;
mp_gaxe2a;megaplay;mp_gaxe2
mp_gslam;megaplay;
mp_gunhe;megaplay;
mp_mazin;megaplay;
mp_shnb3;megaplay;
mp_soni2;megaplay;
mp_sonic;megaplay;
mp_sor2;megaplay;
mp_twc;megaplay;
mp_twcup;megaplay;
ms4plus;neogeo;mslug4
ms5plus;neogeo;mslug5
mslug21v2;neogeo;mslug2
mslug2;neogeo;
mslug2ct;neogeo;mslug2
mslug2dd;neogeo;mslug2
mslug2dg;neogeo;mslug2
mslug2eg;neogeo;mslug2
mslug2fm;neogeo;mslug2
mslug2p;neogeo;mslug2
mslug2r;neogeo;mslug2
mslug2t;neogeo;mslug2
mslug2unity;neogeo;mslug2
mslug31v2;neogeo;mslug3
mslug3;neogeo;
mslug3a;neogeo;mslug3
mslug3b6;neogeo;mslug3
mslug3c;neogeo;mslug3
mslug3dd;neogeo;mslug3
mslug3eb;neogeo;mslug3
mslug3g;neogeo;mslug3
mslug3gw;neogeo;mslug3
mslug3h;neogeo;mslug3
mslug3i;neogeo;mslug3
mslug3ki;neogeo;mslug3
mslug3lw;neogeo;mslug3
mslug3n;neogeo;mslug3
mslug3sd;neogeo;mslug3
mslug3se;neogeo;mslug3
mslug3unity;neogeo;mslug3
mslug3v;neogeo;mslug3
mslug3x;neogeo;
mslug3zh;neogeo;mslug3
mslug41v2;neogeo;mslug4
mslug4;neogeo;
mslug4a;neogeo;mslug4
mslug4ammor;neogeo;mslug4
mslug4c;neogeo;mslug4
mslug4dd;neogeo;mslug4
mslug4dg;neogeo;mslug4
mslug4h;neogeo;mslug4
mslug4ki;neogeo;mslug4
mslug4lw;neogeo;mslug4
mslug4lwq;neogeo;mslug4
mslug4q;neogeo;mslug4
mslug4unity;neogeo;mslug4
mslug51v2;neogeo;mslug5
mslug5;neogeo;
mslug5b2;neogeo;mslug5
mslug5b;neogeo;mslug5
mslug5c;neogeo;mslug5
mslug5d;neogeo;mslug5
mslug5dbj;neogeo;mslug5
mslug5dd;neogeo;mslug5
mslug5es;neogeo;mslug5
mslug5ex;neogeo;mslug5
mslug5f;neogeo;mslug5
mslug5h;neogeo;mslug5
mslug5ki;neogeo;mslug5
mslug5mg;neogeo;mslug5
mslug5sg;neogeo;mslug5
mslug5sgf;neogeo;mslug5
mslug5unity;neogeo;mslug5
mslug5w;neogeo;mslug5
mslug5x;neogeo;mslug5
mslug5zh;neogeo;mslug5
mslug6;awbios;
mslug;neogeo;
mslugdg;neogeo;mslug
mslugunity;neogeo;mslug
mslugx1v2;neogeo;mslugx
mslugx2r1v2;neogeo;mslugx
mslugx2r;neogeo;mslugx
mslugx2reb;neogeo;mslugx
mslugx;neogeo;
mslugxc1;neogeo;mslugx
mslugxc2;neogeo;mslugx
mslugxeb;neogeo;mslugx
mslugxlb;neogeo;mslugx
mslugxsc;neogeo;mslugx
mslugxsrf;neogeo;mslugx
mslugxunity;neogeo;mslugx
mt_aftrb;megatech;
mt_arrow;megatech;
mt_astrm;megatech;
mt_astro;megatech;
mt_asyn;megatech;
mt_bbros;megatech;
mt_beast;megatech;
mt_calga;megatech;
mt_cols;megatech;
mt_crack;megatech;
mt_eswat;megatech;
mt_fshrk;megatech;
mt_fwrld;megatech;
mt_fz;megatech;
mt_gaxe2;megatech;
mt_gaxe;megatech;
mt_gfoot;megatech;
mt_ggolf;megatech;
mt_gng;megatech;
mt_gsocr;megatech;
mt_kcham;megatech;
mt_lastb;megatech;
mt_mlh;megatech;
mt_mwalk;megatech;
mt_mystd;megatech;
mt_orun;megatech;
mt_parlg;megatech;
mt_revsh;megatech;
mt_shado;megatech;
mt_shang;megatech;
mt_shar2;megatech;
mt_shnbi;megatech;
mt_smgp;megatech;
mt_soni2;megatech;
mt_sonia;megatech;mt_sonic
mt_sonic;megatech;
mt_spman;megatech;
mt_srage;megatech;
mt_srbb;megatech;
mt_stbld;megatech;
mt_stf;megatech;
mt_tetri;megatech;
mt_tfor2;megatech;
mt_tgolf;megatech;
mt_tlbba;megatech;
mt_tout;megatech;
mt_wcsoc;megatech;
mt_wwar;megatech;
mtetrisc;aleck64;
mtwinbee;konamigx;tbyahhoo
mushi2eo;naomi;mushik2e
mushi2k4;naomi;
mushi2k5;naomi;
mushi2k61;naomi;
mushi2k62;naomi;
mushik2e;naomi;
mushik2k;naomi;mushik2e
mushik4e;naomi;
mushikc;naomi;mushike
mushike;naomi;
mushikeo;naomi;mushike
mushikep;naomi;mushike
mushikk;naomi;mushike
mustang;nmk004;
mustangb2;nmk004;mustang
mustangb;nmk004;mustang
mustangs;nmk004;mustang
mutnat;neogeo;
mvsc2;naomi;
mvsc2u;naomi;mvsc2
myfairld;stvbios;
nagano98;konamigv;
naganoj;konamigv;nagano98
nam1975;neogeo;
nameclub;stvbios;
nbajamex;acpsx;
nbajamex;coh1000a;
nbajamexa;coh1000a;nbajamex
nblktiger;neogeo;
nclubv2;stvbios;
nclubv3;stvbios;
ncombat;neogeo;
ncombath;neogeo;ncombat
ncommand;neogeo;
nebulray;namcoc75;
nebulrayj;namcoc75;nebulray
neo2500;neogeo;
neo3ddmo;neogeo;
neobombe;neogeo;
neocdz;neogeo;
neocstlv;neogeo;
neocup98;neogeo;
neodemo;neogeo;
neodrift;neogeo;
neogalag;neogeo;
neogalaga;neogeo;neogalag
neomrdo;neogeo;
neonopon;neogeo;
neopang;neogeo;
neopong;neogeo;
neoponga;neogeo;neopong
neoprimo;neogeo;
neotet;neogeo;
neothndr;neogeo;
neotris;neogeo;
neoww2;neogeo;
netchu02;sys246;
ngbc;awbios;
ngbcj;awbios;ngbc
ngem2k;neogeo;
ngfrog;neogeo;
ngftdemo;neogeo;
nightrai;coh3002t;
ninjamas;neogeo;
ninjamasha;neogeo;ninjamas
ninjaslt;naomi;
ninjaslta;naomi;ninjaslt
ninjasltj;naomi;ninjaslt
ninjasltu;naomi;ninjaslt
nitd;neogeo;
nitdbl;neogeo;nitd
nsmb;neogeo;
nss_actr;nss;
nss_adam;nss;
nss_aten;nss;
nss_con3;nss;
nss_fzer;nss;
nss_lwep;nss;
nss_ncaa;nss;
nss_rob3;nss;
nss_skin;nss;
nss_smas;nss;
nss_smw;nss;
nss_ssoc;nss;
nss_sten;nss;
numanath;namcoc70;
numanathj;namcoc70;numanath
odeontw2;cubo;
odeontw;cubo;
olds100;pgm;olds
olds100a;pgm;olds
olds103t;pgm;olds
olds;pgm;
oldsdsgl;pgm;olds
oldsmx;pgm;olds
oldsplus203;pgm;oldsplus
oldsplus;pgm;
oldsplusnr211;pgm;oldsplus
oldsplusnr;pgm;oldsplus
oldsplusok;pgm;oldsplus
ollie;chihiro;
opengolf2;konamigx;opengolf
opengolf;konamigx;
opwolf;cchip;
opwolfa;cchip;opwolf
opwolfb;cchip;opwolf
opwolfj;cchip;opwolf
opwolfjsc;cchip;opwolf
opwolfu;cchip;opwolf
orbatak;3dobios;
orlegend105k;pgm;orlegend
orlegend105t;pgm;orlegend
orlegend111c;pgm;orlegend
orlegend111k;pgm;orlegend
orlegend111t;pgm;orlegend
orlegend;pgm;
orlegendc;pgm;orlegend
orlegendca;pgm;orlegend
orlegende;pgm;orlegend
orlegendea;pgm;orlegend
orlegndc;pgm;orlegend
orlegnde;pgm;orlegend
otenamhf;coh3002t;
otenamih;coh3002t;
otenki;coh3002t;
othellos;stvbios;
otrigger;naomi;
outfxies;namcoc75;
outfxiesa;namcoc75;outfxies
outfxiesj;namcoc75;outfxies
outfxiesja;namcoc75;outfxies
outline;cvs;radarzon
outr2;chihiro;
outr2st;chihiro;
outr2stj;chihiro;outr2st
outr2stjo;chihiro;outr2st
outr2sto;chihiro;outr2st
overtop;neogeo;
p9112;kviper;
p911;kviper;
p911ac;kviper;p911
p911e;kviper;p911
p911ea;kviper;p911
p911ed;kviper;p911
p911j;kviper;p911
p911k;kviper;p911
p911kc;kviper;p911
p911uc;kviper;p911
p911ud;kviper;p911
panicbom;neogeo;
panicstr;skns;
pbball96;konamigv;
pblbeach;stvbios;
pbobbl2n;neogeo;
pbobblen;neogeo;
pbobblenb;neogeo;pbobblen
pbobblna;neogeo;pbobblen
pc_1942;playch10;
pc_bball;playch10;
pc_bfght;playch10;
pc_bload;playch10;
pc_bstar;playch10;
pc_cntra;playch10;
pc_cshwk;playch10;
pc_cvnia;playch10;
pc_dbldr;playch10;
pc_ddrgn;playch10;
pc_drmro;playch10;
pc_duckh;playch10;
pc_ebike;playch10;
pc_ftqst;playch10;
pc_gntlt;playch10;
pc_golf;playch10;
pc_goons;playch10;
pc_grdue;playch10;pc_grdus
pc_grdus;playch10;
pc_hgaly;playch10;
pc_kngfu;playch10;
pc_mario;playch10;
pc_miket;playch10;
pc_mman3;playch10;
pc_moglf;playch10;
pc_mtoid;playch10;
pc_ngai2;playch10;
pc_ngai3;playch10;
pc_ngaid;playch10;
pc_pinbt;playch10;
pc_pwbld;playch10;
pc_pwrst;playch10;
pc_radr2;playch10;
pc_radrc;playch10;
pc_rcpam;playch10;
pc_rkats;playch10;
pc_rnatk;playch10;
pc_rrngr;playch10;
pc_rygar;playch10;
pc_sjetm;playch10;
pc_smb2;playch10;
pc_smb3;playch10;
pc_smb;playch10;
pc_suprc;playch10;
pc_tbowl;playch10;
pc_tenis;playch10;
pc_tkfld;playch10;
pc_tmnt2;playch10;
pc_tmnt;playch10;
pc_trjan;playch10;
pc_ttoon;playch10;
pc_vball;playch10;
pc_virus;playch10;pc_drmro
pc_wcup;playch10;
pc_wgnmn;playch10;
pc_ynoid;playch10;
pckobe99;stvbios;
pclb2elk;stvbios;
pclove2;stvbios;
pclove;stvbios;
pclub26w;stvbios;
pclub26wa;stvbios;pclub26w
pclub27s;stvbios;
pclub2;stvbios;
pclub2fc;stvbios;
pclub2kc;stvbios;
pclub2pe;stvbios;
pclub2pf;stvbios;
pclub2v3;stvbios;
pclub2v3;stvbios;pclub2
pclub2wb;stvbios;
pclubol;stvbios;
pclubor;stvbios;
pclubpok;stvbios;
pclubyo2;stvbios;
pcnfrk3m;sys573;
pcpooh2;stvbios;
pcpooh3;stvbios;
pesta;kpython;
peterpak;atarisy1;
pgemeni;pgm;
pgm3in1;pgm;
pgm3in1c100;pgm;pgm3in1
pgmdemo;pgm;
pgmfrog;pgm;
pgoal;neogeo;
pharrier;hikaru;
photoy2k102;pgm;photoy2k
photoy2k102j;pgm;photoy2k
photoy2k103j;pgm;photoy2k
photoy2k104;pgm;photoy2k
photoy2k;pgm;
pjustic;naomi;
pjustica;naomi;pjustic
plsmaswd;coh3002c;
plsmaswda;coh3002c;plsmaswd
pnchmn2;sys573;
pnchmn;sys573;fghtmn
pnchmna;sys573;fghtmn
pnyaa;neogeo;
pnyaaa;neogeo;pnyaa
podrace;hikaru;
pokasuka;naomi;manicpnc
poknight;neogeo;
popbounc;neogeo;
popn9;kviper;
powyak96;konamigv;
powyakex;sys573;
ppp2nd;kviper;
prc28su;stvbios;
prc297wi;stvbios;
prc297wia;stvbios;prc297wi
prc298au;stvbios;
prc298sp;stvbios;
prc298su;stvbios;
prc29au;stvbios;
prc2ksu;stvbios;
prdgp03;sys246;
preisle2;neogeo;
prikura;stvbios;
primrag2;coh1000w;
primrag2;coh1000w;primrage
proneon;neogeo;
pspikes2;neogeo;
pss61;sfcbox;
pss62;sfcbox;
pss63;sfcbox;
pss64;sfcbox;
pstone2;naomi;
pstone2b;naomi;pstone2
pstone;naomi;
psyforce;coh1000t;
psyforce;coh1000t;psyfrcex
psyforce;taitofx1;
psyforcej;coh1000t;psyforce
psyforcex;coh1000t;psyforce
psyvar2;naomigd;
psyvaria;coh3002t;
psyvarij;coh3002t;psyvaria
psyvarrv;coh3002t;
ptblank;namcoc75;
ptblanka;namcoc75;ptblank
pulstar;neogeo;
puyoda;naomi;
puyofev;naomigd;
puyofevj;naomigd;puyofev
puyofevp;naomigd;puyofev
puyosun;stvbios;
puzldama;konamigx;
puzldama;konamigx;crzcross
puzloopj;skns;puzzloop
puzloopu;skns;puzzloop
puzlstar;pgm;
puzlstara;pgm;puzlstar
puzzldpr;neogeo;puzzledp
puzzledp;neogeo;
puzzli2;pgm;
puzzli2s;pgm;puzzli2
puzzloop;skns;
puzzloopa;skns;puzzloop
puzzloope;skns;puzzloop
puzzloopj;skns;puzzloop
puzzloopk;skns;puzzloop
puzzloopu;skns;puzzloop
pwrshovl;taitotz;
pwrshovla;taitotz;pwrshovl
py2k2100;pgm;py2k2
py2k2;pgm;
qofd3;chihiro;
qofdtbk;chihiro;
questofd;chihiro;
quizdai2;neogeo;
quizdais;neogeo;
quizdaisk;neogeo;quizdais
quizkof;neogeo;
quizkofk;neogeo;quizkof
quiztou;namcoc70;
racinfrc;konamigx;
racinfrcu;konamigx;racinfrc
radarzn1;cvs;radarzon
radarznt;cvs;radarzon
radarzon;cvs;
radirgy;naomigd;
radirgyn;naomi;
radirgyo;naomigd;radirgy
ragnagrd;neogeo;
raizpin;taitotz;
raizpinj;taitotz;raizpin
rangrmsn;awbios;
raycris;coh3002t;
raycrisj;coh3002t;raycris
raystorm;coh1000t;
raystorm;taitofx1;
raystormj;coh1000t;raystorm
raystormo;coh1000t;raystorm
raystormu;coh1000t;raystorm
rbff1;neogeo;
rbff1a;neogeo;rbff1
rbff1k;neogeo;rbff1
rbff1ka;neogeo;rbff1
rbff2;neogeo;
rbff2a;neogeo;rbff2
rbff2bh;neogeo;rbff2
rbff2h;neogeo;rbff2
rbff2k;neogeo;rbff2
rbffspbh;neogeo;rbffspec
rbffspec;neogeo;
rbffspeck;neogeo;rbffspec
rbisland;cchip;
rbislande;cchip;
rbislando;cchip;rbisland
rbtapper;midssio;tapper
rcdego;coh3002t;gobyrc
ridhero;neogeo;
ridheroh;neogeo;ridhero
ringout;naomi;
ringouto;naomi;ringout
roadblst1;atarisy1;roadblst
roadblst2;atarisy1;roadblst
roadblst3;atarisy1;roadblst
roadblst;atarisy1;
roadblstc1;atarisy1;roadblst
roadblstc;atarisy1;roadblst
roadblstcg;atarisy1;roadblst
roadblstg1;atarisy1;roadblst
roadblstg2;atarisy1;roadblst
roadblstg;atarisy1;roadblst
roadblstgu;atarisy1;roadblst
roadedge;hng64;
roadrunn1;atarisy1;roadrunn
roadrunn2;atarisy1;roadrunn
roadrunn;atarisy1;
roboarma;neogeo;roboarmy
roboarmy;neogeo;
roboarmya;neogeo;roboarmy
robocopi;neogeo;
rotd;neogeo;
rotdh;neogeo;rotd
rrvac1;sys246;rrvac
rrvac2;sys246;rrvac
rrvac;sys246;
rsgun;stvbios;
rumblef2;awbios;
rumblef;awbios;
rumblefp;awbios;rumblef
rumblf2p;awbios;rumblef2
rungun2;konamigx;
rushhero;konamigx;
rvschool;coh3002c;
rvschool;cpzn1;
rvschoola;coh3002c;rvschool
rvschoolu;coh3002c;rvschool
ryouran;skns;
ryourano;skns;ryouran
s1945p;neogeo;
salarymc;sys573;
salmankt;awbios;
salmndr2;konamigx;
salmndr2a;konamigx;salmndr2
samba;naomi;
sams64;hng64;
sams64_2;hng64;
samsh5fe;neogeo;samsh5sp
samsh5pf;neogeo;samsh5sp
samsh5sp;neogeo;
samsh5sph;neogeo;samsh5sp
samsh5spho;neogeo;samsh5sp
samsho2;neogeo;
samsho2k;neogeo;samsho2
samsho2ka;neogeo;samsho2
samsho2new;neogeo;samsho2
samsho2sp;neogeo;samsho2
samsho3;neogeo;
samsho3h;neogeo;samsho3
samsho4;neogeo;
samsho4k;neogeo;samsho4
samsho4sp;neogeo;samsho4
samsho5;neogeo;
samsho5a;neogeo;samsho5
samsho5b;neogeo;samsho5
samsho5h;neogeo;samsho5
samsho5x;neogeo;samsho5
samsho;neogeo;
samshoa;neogeo;samsho
samshoh;neogeo;samsho
samsptk;awbios;
sandor;stvbios;
sanjeon;stvbios;sasissu
sarukani;skns;vblokbrk
sasissu;stvbios;
sassisu;stvbios;
savagere;neogeo;
savagereb;neogeo;savagere
sbdk;cvs;superbik
sbp;neogeo;
sbsgomo;nmk004;bioship
sbxc;sys246;
scg05nt;chihiro;
scg05ntb;chihiro;scg05nt
scg06nt;chihiro;
scptour;sys246;
sdodgeb;neogeo;
sdodgebh;neogeo;sdodgeb
seabass;stvbios;
sengekij;skns;sengekis
sengekis;skns;
sengekisj;skns;sengekis
sengokh;neogeo;sengoku
sengoku2;neogeo;
sengoku3;neogeo;
sengoku3a;neogeo;sengoku3
sengoku3eb;neogeo;sengoku3
sengoku3fs;neogeo;sengoku3
sengoku3s;neogeo;sengoku3
sengoku;neogeo;
sengokuh;neogeo;sengoku
senknow;skns;
senko;naomigd;
senkoo;naomigd;senko
senkosp;naomigd;
sexyparo;konamigx;
sexyparoa;konamigx;sexyparo
sfchamp;coh1000t;
sfchamp;taitofx1;
sfchampj;coh1000t;sfchamp
sfchampo;coh1000t;sfchamp
sfchampu;coh1000t;sfchamp
sfex2;coh3002c;
sfex2;cpzn2;
sfex2a;coh3002c;sfex2
sfex2h;coh3002c;sfex2
sfex2j;coh3002c;sfex2
sfex2p;coh3002c;
sfex2p;cpzn2;sfex2
sfex2pa;coh3002c;sfex2p
sfex2ph;coh3002c;sfex2p
sfex2pj;coh3002c;sfex2p
sfex2pu;coh3002c;sfex2p
sfex2u1;coh3002c;sfex2
sfex2u;coh3002c;sfex2
sfex;coh1000c;
sfex;cpzn1;
sfexa;coh1000c;sfex
sfexj;coh1000c;sfex
sfexj;cpzn1;sfex
sfexp;coh1000c;
sfexp;cpzn1;
sfexpj1;coh1000c;sfexp
sfexpj;coh1000c;sfexp
sfexpj;cpzn1;sfexp
sfexpu1;coh1000c;sfexp
sfexu;coh1000c;sfex
sformula;ym2608;tail2nos
sformulaa;ym2608;tail2nos
sfz3ugd;naomigd;
sg2j;cpzn2;
sgdrvsim;naomi2;
sgnascar;hikaru;
sgnascaro;hikaru;sgnascar
sgtetris;naomi;
shanghss;coh3002t;
shangtou;coh3002t;
shanhigw;stvbios;
shienryu;stvbios;
shikgam2;naomigd;
shikigam;coh3002t;
shikigama;coh3002t;
shinfz;isgsm;
shiryu2;coh3002c;strider2
shiryu2;cpzn2;strider2
shngmtkb;coh1002m;
shocktr2;neogeo;
shocktra;neogeo;shocktro
shocktro;neogeo;
shocktroa;neogeo;shocktro
shollow2;midssio;shollow
shollow;midssio;
shootopl;naomi;
shootpl;naomi;
shootplm;naomi;
shootplmp;naomi;shootplm
sht3do;alg3do;
sianniv;coh3002t;
simpbowl;konamigv;
sl2007;naomi;
slamdnk2;konamigx;rungun2
slasho;naomi;
slashout;naomigd;
sleague;stvbios;
smarinef;naomi;
smleague;stvbios;
smlg99;naomi;
sncwgltd;coh1002v;aerofgts
socbrawl;neogeo;
socbrawlh;neogeo;socbrawl
soccerss;konamigx;
soccerssa;konamigx;soccerss
soccerssj;konamigx;soccerss
soccerssja;konamigx;soccerss
soccerssu;konamigx;soccerss
sogeki;kviper;sscopex
sokyugrt;stvbios;
solarfox;midssio;
sonicwi2;neogeo;
sonicwi3;neogeo;
soulcl2a;sys246;soulclb2
soulcl2b;sys246;soulclb2
soulcl2w;sys246;soulclb2
soulclb2;sys246;
soulclb3;sys246;
soulclb3a;sys246;soulclb3
soulclb3b;sys246;soulclb3
soulsurf;naomi2;
soutenry;coh3002t;
spacefrt;cvs;
spacepir;alg_bios;
spacepir_14;alg_bios;spacepir
spawn;naomi;
spidermi;neogeo;
spinmast;neogeo;
spkrbtl;naomigd;
sprtjam;naomigd;
sprtshot;awbios;
spuzbobl;coh3002t;
spuzboblj;coh3002t;spuzbobl
spyhunt;midssio;
spyhuntp;midssio;spyhunt
ss2005;naomigd;
ss2005a;naomigd;ss2005
ss2005o;naomigd;ss2005
sscopefh;kviper;
sscopex;kviper;
ssideki2;neogeo;
ssideki3;neogeo;
ssideki4;neogeo;
ssideki;neogeo;
sss;stvbios;
sstrkfgt;naomi;
sstrkfgta;naomi;sstrkfgt
stakwin2;neogeo;
stakwin;neogeo;
stakwindev;neogeo;stakwin
starglad;coh1000c;
starglad;cpzn1;
stargladj;coh1000c;starglad
stargld2;coh3002c;plsmaswd
starseek;naomigd;
starsldr;aleck64;
stepchmp;sys573;
strahl;nmk004;
strahlj;nmk004;strahl
strahlja;nmk004;strahl
stress;stvbios;
strgchmp;sys573;
strhoop;neogeo;
strider2;coh3002c;
strider2;cpzn2;
strider2a;coh3002c;strider2
strider2u;coh3002c;strider2
stridr2a;cpzn2;strider2
styphp;taitotz;
suikoenb;stvbios;
superbik;cvs;
superdbz;sys256;
superman;cchip;
supermanj;cchip;superman
supermanu;cchip;superman
superspy;neogeo;
sushibar;awbios;
susume;konamigv;lacrazyc
sutapper;midssio;tapper
svc;neogeo;
svcboot;neogeo;svc
svcplus;neogeo;svc
svcplusa;neogeo;svc
svcsplus;neogeo;svc
svg;pgm;
svghk;pgm;svg
svgpcb;pgm;svg
svgtw;pgm;svg
swcourt;namcoc69;
swcourtb;namcoc69;swcourt
swcourtj;namcoc69;swcourt
swracer;hikaru;
sws95;namcoc75;
sws96;namcoc75;
sws97;namcoc75;
syscheck;neogeo;
taiko10;sys256;
taiko9;sys256;
tail2nos;ym2608;
tail2nosa;ym2608;tail2nos
takoron;naomigd;
tapper;midssio;
tappera;midssio;tapper
tapperb;midssio;tapper
tapperg;midssio;tapper
tatacot;stvbios;critcrsh
tblkkuzu;coh1002m;
tbyahhoo;konamigx;
tdragon1;nmk004;tdragon
tdragon;nmk004;
tdragonb3;nmk004;tdragon
tdragonb;nmk004;tdragon
tduno2;naomi;
tduno;naomi;
techbowl;stvbios;
techromn;coh3002c;
techromn;cpzn2;
techromna;coh3002c;techromn
techromnu;coh3002c;techromn
tecmowcm;coh1002m;
tekken4;sys246;
tekken4a;sys246;tekken4
tekken4b;sys246;tekken4
tekken4c;sys246;tekken4
tekken51;sys256;
tekken51b;sys256;tekken51
tekken5d;sys256;
teljan;skns;
teot;neogeo;
tetgiano;segasp;tetgiant
tetgiant;segasp;
tetkiwam;naomigd;
tetrbx;isgsm;
tgmj;coh3002c;
tgmj;cpzn1;
theglad100;pgm;theglad
theglad101;pgm;theglad
theglad104;pgm;theglad
theglad;pgm;
thegladpcb;pgm;theglad
thegladpcba;pgm;theglad
thrild2;kviper;
thrild2a;kviper;thrild2
thrild2ab;kviper;thrild2
thrild2ac;kviper;thrild2
thrild2c;kviper;thrild2
thrild2j;kviper;thrild2
thrild3j;kpython2;
thunt;stvbios;sandor
thuntk;stvbios;sandor
tierras100hz;alg_bios;
timber;midssio;
timecrs3;sys246;
timecrs3e;sys246;timecrs3
timecrs3u;sys246;timecrs3
timecrs4;sys256;
timecrs4j;sys256;timecrs4
timesup;neogeo;
timesupd;neogeo;
tinklpit;namcoc69;
tkmmpzdm;konamigx;
tmnti;neogeo;
tmntia;neogeo;tmnti
tokkae;konamigx;
tokyobus;naomi;
tondemo;coh1002m;
tondemo;tps;
topbladv;crysbios;
tophuntr;neogeo;
tophuntrh;neogeo;tophuntr
totc;neogeo;
totd;naomi;
totdo;naomi;totd
toukon4;naomi;
toyfight;naomi;
tpgolf;neogeo;
trally;neogeo;
trgheart;naomigd;
trghearto;naomigd;trgheart
trizeal;naomigd;
tron2;midssio;tron
tron3;midssio;tron
tron4;midssio;tron
tron5;midssio;tron
tron;midssio;
tronger;midssio;tron
ts2;coh1000c;
ts2;cpzn1;
ts2j;coh1000c;ts2
ts2j;cpzn1;ts2
ts2ja;coh1000c;ts2
ts2u;coh1000c;ts2
ts2ua;coh1000c;ts2
tsurugi;kviper;
tsurugie;kviper;tsurugi
tsurugij;kviper;tsurugi
turfmast;neogeo;
twcup90;ym2608;
twcup90a;ym2608;twcup90
twcup90b1;ym2608;twcup90
twcup90b2;ym2608;twcup90
twcup90b3;ym2608;twcup90
twcup90b4;ym2608;twcup90
twcup90b;ym2608;twcup90
twcup90ba;ym2608;twcup90
twcup90bb;ym2608;twcup90
twcup90c;ym2608;twcup90
twcup90t;ym2608;twcup90
twcup98;stvbios;
twcupmil;coh1002m;
twinbeeb;bubsys;
twinspri;neogeo;
twotiger;midssio;
twrshaft;aleck64;
tws96;neogeo;
twsoc96;neogeo;
twsoc98;stvbios;twcup98
undefeat;naomigd;
urachamu;crysbios;
v4cmaze2;v4bios;
v4cmaze2_amld;v4bios;v4cmaze2
v4cmaze2b;v4bios;v4cmaze2
v4cmaze2c;v4bios;v4cmaze2
v4cmaze2d;v4bios;v4cmaze2
v4cmaze3;v4bios;
v4cmaze3_amld;v4bios;v4cmaze3
v4cmaze3b;v4bios;v4cmaze3
v4cmaze3c;v4bios;v4cmaze3
v4cmaze3d;v4bios;v4cmaze3
v4cmaze;v4bios;
v4cmaze_amld;v4bios;v4cmaze
v4cmazeb;v4bios;v4cmaze
v4cmazec;v4bios;v4cmaze
v4cmazed;v4bios;v4cmaze
v4cmazedat;v4bios;v4cmaze
vandyke;nmk004;
vandykeb;nmk004;vandyke
vandykejal2;nmk004;vandyke
vandykejal;nmk004;vandyke
