name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;lang2;ranking;bestgame;alltime;cabinets;
azurian;"Azurian Attack";"1982";"Rait Electronics Ltd";YES;-;NO;-;galaxian;YES;NO;NO;-;NO;YES;NO;YES;galaxian.cpp;"Mame 0.35rc1";"1999-06-13";"Mame 0.195";"2018-02-28";0;1;1;1;1;RASTER;"90";VERTICAL;768;224;60.606061;"joystick (8-way)";"CRT 15kHz";"Z80";"maincpu Z80 @3.72 MHz";"Speaker,Galaxian Custom Sound,Discrete Sound";"speaker Speaker, cust Galaxian Custom Sound, discrete Discrete Sound";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Shooter / Field";Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";https://archive.org/details/arcade_azurian;"https://www.youtube.com/watch?v=B4cFlOAdX5k";-;0;NO;NO;NO;NO;English;"0 to 10 (Worst)";-;"Cocktail, Upright";NO;
battlex;"Battle Cross";"1982";"Omori Electric Co., Ltd.";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;battlex.cpp;"Mame 0.61";"2002-07-04";"Mame 0.195";"2018-02-28";0;1;2;1;1;RASTER;"180";HORIZONTAL;256;224;60.000000;"joystick (8-way)";"CRT 15kHz";"Z80";"maincpu Z80 @2.5 MHz";"Speaker,AY-3-8910A PSG";"mono Speaker, ay1 AY-3-8910A PSG @1.25 MHz";IMPERFECT;GOOD;IMPERFECT;GOOD;IMPERFECT;PRELIMINARY;GOOD;GOOD;-;"Shooter / Flying";Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";https://archive.org/details/arcade_battlex;"https://www.youtube.com/watch?v=cvrcFGvcmpQ";-;0;NO;NO;NO;NO;English;"0 to 10 (Worst)";-;"Cocktail, Upright";YES;
brod;"Brodjaga (Arcade bootleg of ZX Spectrum 'Inspector Gadget and the Circus of Fear')";"19??";bootleg;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"photon2.cpp";"Mame 0.134";"2009-09-10";"Mame 0.195";"2018-02-28";0;1;1;1;1;RASTER;"0";HORIZONTAL;352;296;50.080000;"joystick (8-way)";"CRT 25kHz";"Z80";"maincpu Z80 @3.5 MHz";"Speaker,Filtered 1-bit DAC";"mono Speaker, speaker Filtered 1-bit DAC";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Platform / Run, Jump & Scrolling";Platform;-;Russian;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"1P";-;"https://www.youtube.com/watch?v=VSRojlXR6O8";-;0;NO;NO;NO;NO;Russian;"0 to 10 (Worst)";-;"0 to 10 (Worst)";NO;
black;"Czernyj Korabl (Arcade bootleg of ZX Spectrum 'Blackbeard')";"19??";bootleg;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"photon2.cpp";"Mame 0.134";"2009-09-10";"Mame 0.195";"2018-02-28";0;1;1;1;1;RASTER;"0";HORIZONTAL;352;296;50.080000;"joystick (8-way)";"CRT 25kHz";"Z80";"maincpu Z80 @3.5 MHz";"Speaker,Filtered 1-bit DAC";"mono Speaker, speaker Filtered 1-bit DAC";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Shooter / Walking";Shooter;-;Russian;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"1P";-;"https://www.youtube.com/watch?v=tN4RtGi2Ri8";-;0;NO;NO;NO;NO;Russian;"0 to 10 (Worst)";-;"0 to 10 (Worst)";NO;
einning;"Extra Inning / Ball Park II";"1978";"Midway / Taito";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"mw8080bw.cpp";"Mame 0.111u4";"2007-01-18";"Mame 0.195";"2018-02-28";0;3;1;1;1;RASTER;"0";HORIZONTAL;260;224;59.541985;"joystick (8-way)";"CRT 15kHz";"8080";"maincpu 8080 @1.9968 MHz";"Speaker,Discrete Sound";"mono Speaker, discrete Discrete Sound";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Sports / Baseball";Sports;"Tornado Baseball";English;"Black & White";NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";-;"https://www.youtube.com/watch?v=mLUe5SSeeCE";-;0;NO;NO;NO;NO;"Black & White";"0 to 10 (Worst)";-;"0 to 10 (Worst)";NO;
sosterm;S.O.S.;"1988";Terminal;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"tiamc1.cpp";"Mame 0.126u4";"2008-08-07";"Mame 0.195";"2018-02-28";0;2;1;1;1;RASTER;"0";HORIZONTAL;256;256;50.080128;"joystick (8-way)";"CRT 15kHz";"8080";"maincpu 8080 @1.75 MHz";"Speaker,TIA-MC1 Custom Sound";"mono Speaker, 2x8253 TIA-MC1 Custom Sound @1.75 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;NODUMP;-;"Platform / Run, Jump & Scrolling";Platform;-;Russian;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"1P";-;"https://www.youtube.com/watch?v=BBvMjTjSQd0";-;0;NO;NO;NO;NO;Russian;"0 to 10 (Worst)";-;"0 to 10 (Worst)";NO;
