name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
samsho4;Samurai Shodown IV - Amakusa's Revenge / Samurai Spirits - Amakusa Kourin (NGM-222)(NGH-222);1996;SNK;YES;neogeo;NO;-;-;
scramble;Scramble;1981;Konami;YES;-;NO;-;-;
shinobi;Shinobi (set 6, System 16A, unprotected);1987;Sega;YES;-;NO;-;-;
solomon;Solomon's Key (US);1986;Tecmo;YES;-;NO;-;-;
sharrier;Space Harrier (Rev A, 8751 315-5163A);1985;Sega;YES;-;NO;-;-;
invaders;Space Invaders / Space Invaders M;1978;Taito / Midway;YES;-;NO;-;-;
spacedx;Space Invaders DX (US, v2.1);1994;Taito Corporation;YES;-;NO;-;-;
sci;Special Criminal Investigation (World set 1);1989;Taito Corporation Japan;YES;-;NO;-;-;
splatter;Splatter House (World, new version (SH3));1988;Namco;YES;-;NO;-;-;
sfa;Street Fighter Alpha - warriors' dreams (950727 Euro);1995;Capcom;YES;-;NO;-;-;
sfa2;Street Fighter Alpha 2 (960229 Euro);1996;Capcom;YES;-;NO;-;-;
sfa3;Street Fighter Alpha 3 (980904 Euro);1998;Capcom;YES;-;NO;-;-;
sf2;Street Fighter II - The World Warrior (910522 etc);1991;Capcom;YES;-;NO;-;-;
sf2ce;Street Fighter II' - Champion Edition (street fighter 2' 920513 etc);1992;Capcom;YES;-;NO;-;-;
strider;Strider (US set 1);1989;Capcom;YES;-;NO;-;-;
ssriders;Sunset Riders (4 Players ver. EAC);1991;Konami;YES;-;NO;-;-;
scontra;Super Contra;1988;Konami;YES;-;NO;-;-;
shangon;Super Hang-On (sitdown/upright, unprotected);1987;Sega;YES;-;NO;-;-;
superpac;Super Pac-Man;1982;Namco;YES;-;NO;-;-;
spf2t;Super Puzzle Fighter II Turbo (Super Puzzle Fighter 2 Turbo 960529 Euro);1996;Capcom;YES;-;NO;-;-;
ssf2;Super Street Fighter II - the new challengers (super street fighter 2 931005 etc);1993;Capcom;YES;-;NO;-;-;
tbowl;Tecmo Bowl (World?);1987;Tecmo;YES;-;NO;-;-;
tmnt;Teenage Mutant Ninja Turtles (World 4 Players, version X);1989;Konami;YES;-;NO;-;-;
tmnt2;Teenage Mutant Ninja Turtles - Turtles in Time (4 Players ver. UAA);1991;Konami;YES;-;NO;-;-;
atetris;Tetris (set 1) [No sound];1988;Atari Games;YES;-;NO;-;-;
tetris;Tetris (set 4, Japan, System 16A, FD1094 317-0093);1988;Sega;YES;-;NO;-;-;
kof94;The King of Fighters '94 (NGM-055)(NGH-055);1994;SNK;YES;neogeo;NO;-;-;
kof95;The King of Fighters '95 (NGM-084);1995;SNK;YES;neogeo;NO;-;-;
kof96;The King of Fighters '96 (NGM-214);1996;SNK;YES;neogeo;NO;-;-;
kof97;The King of Fighters '97 (NGM-2320);1997;SNK;YES;neogeo;NO;-;-;
kof98;The King of Fighters '98 - The Slugfest / King of Fighters '98 - dream match never ends (NGM-2420);1998;SNK;YES;neogeo;NO;-;-;
kof99;The King of Fighters '99 - Millennium Battle (NGM-2510);1999;SNK;YES;neogeo;NO;-;-;
kof2000;The King of Fighters 2000 (NGM-2570) (NGH-2570);2000;SNK;YES;neogeo;NO;-;-;
kof2001;The King of Fighters 2001 (NGM-262?);2001;SNK / Eolith;YES;neogeo;NO;-;-;
lastblad;The Last Blade / Bakumatsu Roman - Gekka no Kenshi (NGM-2340);1997;SNK;YES;neogeo;NO;-;-;
lastbld2;The Last Blade 2 / Bakumatsu Roman - Dai Ni Maku Gekka no Kenshi (NGM-2430)(NGH-2430);1998;SNK;YES;neogeo;NO;-;-;
punisher;The Punisher (930422 etc);1993;Capcom;YES;-;NO;-;-;
simpsons;The Simpsons (4 Players World, set 1);1991;Konami;YES;-;NO;-;-;
timeplt;Time Pilot;1982;Konami;YES;-;NO;-;-;
trackfld;Track & Field;1983;Konami;YES;-;NO;-;-;
toutrun;Turbo Out Run (Out Run upgrade, FD1094 317-0118);1989;Sega;YES;-;NO;-;-;
twinspri;Twinkle Star Sprites;1996;ADK;YES;neogeo;NO;-;-;
wjammers;Windjammers / Flying Power Disc;1994;Data East Corporation;YES;neogeo;NO;-;-;
wboy;Wonder Boy (set 1, 315-5177);1986;Sega (Escape License);YES;-;NO;-;-;
wb3;Wonder Boy III - Monster Lair (set 6, World, System 16B, 8751 317-0098);1988;Sega / Westone;YES;-;NO;-;-;
wbml;Wonder Boy in Monster Land (Japan New Ver., MC-8123, 317-0043);1987;Sega / Westone;YES;-;NO;-;-;
wrally;World Rally (Version 1.0, Checksum 0E56);1993;Gaelco;YES;-;NO;-;-;
xmen;X-Men (4 Players ver UBB);1992;Konami;YES;-;NO;-;-;
xmcota;X-Men - children of the atom (950331 Euro);1995;Capcom;YES;-;NO;-;-;
xmvsf;X-Men vs Street Fighter (961004 Euro);1996;Capcom;YES;-;NO;-;-;
zaxxon;Zaxxon (set 1, rev D);1982;Sega;YES;-;NO;-;-;
