name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
gtmr;1000 Miglia: Great 1000 Miles Rally (94/07/18);1994;Kaneko;YES;-;NO;-;-;
aceattac;Ace Attacker (FD1094 317-0059);1988;Sega;YES;-;NO;-;-;
aliencha;Alien Challenge (World) [Imperfect sound];1994;IGS;YES;-;NO;-;-;
astorm;Alien Storm (set 4, World, 2 Players, FD1094 317-0154);1990;Sega;YES;-;NO;-;-;
avsp;Alien vs Predator (940520 Euro);1994;Capcom;YES;-;NO;-;-;
bwings;B-Wings (Japan new Ver.);1984;Data East Corporation;YES;-;NO;-;-;
bangbead;Bang Bead;2000;Visco;YES;neogeo;NO;-;-;
bstars;Baseball Stars Professional (NGM-002);1990;SNK;YES;neogeo;NO;-;-;
bbakraid;Battle Bakraid - Unlimited Version (U.S.A.) (Tue Jun 8 1999);1999;Eighting;YES;-;NO;-;-;
bayroute;Bay Route (set 3, World, FD1094 317-0116);1989;Sunsoft / Sega;YES;-;NO;-;-;
bermudat;Bermuda Triangle (World?);1987;SNK;YES;-;NO;-;-;
bionicc;Bionic Commando (Euro);1987;Capcom;YES;-;NO;-;-;
breakrev;Breakers Revenge;1998;Visco;YES;neogeo;NO;-;-;
bubbletr;Bubble Trouble (World, Rev B);1992;Namco;YES;-;NO;-;-;
csilver;Captain Silver (World);1987;Data East Corporation;YES;-;NO;-;-;
cloak;Cloak & Dagger (rev 5);1983;Atari;YES;-;NO;-;-;
cobracom;Cobra-Command (World/US revision 5);1988;Data East Corporation;YES;-;NO;-;-;
crusherm;Crusher Makochan (Japan);1999;Takumi;YES;-;NO;-;-;
devstors;Devastators (ver. Z) [Minor Video glitches in level 2.];1988;Konami;YES;-;NO;-;-;
exzisus;Exzisus (Japan, dedicated);1987;Taito Corporation;YES;-;NO;-;-;
horizon;Horizon;1985;Irem;YES;-;NO;-;tr606drumkit;
hotshock;Hot Shocker;1982;E.G. Felaco (Domino license);YES;-;NO;-;-;
nightstr;Night Striker (World);1989;Taito Corporation Japan;YES;-;NO;-;-;
pengadvb;Penguin Adventure (bootleg of MSX version);1988;bootleg (Screen) / Konami;YES;-;NO;-;-;
higemaru;Pirate Ship Higemaru;1984;Capcom;YES;-;NO;-;-;
shogwarr;Shogun Warriors (World);1992;Kaneko;YES;-;NO;-;-;
tetrbx;Tetris / Bloxeed (Korean System 16 bootleg) (ISG Selection Master Type 2006);2006;ISG;YES;isgsm;NO;-;-;
berlwall;The Berlin Wall;1991;Kaneko;YES;-;NO;-;-;
thndrx2;Thunder Cross II (World);1991;Konami;YES;-;NO;-;-;
