name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;lang2;ranking;bestgame;alltime;cabinets;
berzerk;"Berzerk (set 1)";"1980";"Stern Electronics";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;berzerk.cpp;"Mame 0.29";"1997-10-20";"Mame 0.195";"2018-02-28";0;1;3;1;1;RASTER;"0";HORIZONTAL;256;224;59.637405;"joystick (8-way)";"CRT 15kHz";"Z80";"maincpu Z80 @2.5 MHz";"Speaker,SSi TSI S14001A,Exidy SFX";"mono Speaker, speech SSi TSI S14001A @0.19531 MHz, exidy Exidy SFX";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Maze / Shooter Small";Maze;Berzerk;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";https://archive.org/details/arcade_berzerk;"https://www.youtube.com/watch?v=Ijj0v8PexpA";-;0;NO;NO;NO;NO;English;"20 to 30 (Bad)";"1980";"Cocktail, Upright";NO;
bullfgtr;"Bull Fighter";"1984";"Alpha Denshi Co.";YES;-;NO;-;equites;YES;NO;NO;-;NO;YES;NO;YES;equites.cpp;"Mame 0.61";"2002-07-04";"Mame 0.195";"2018-02-28";0;3;2;1;1;RASTER;"90";VERTICAL;256;208;60.000000;"joystick (8-way)";"CRT 15kHz";"M68000,8085A,HD44801";"maincpu M68000 @3 MHz, audiocpu 8085A @6.144 MHz, alpha_8201:mcu HD44801 @0.5 MHz";"Speaker,MSM5232,AY-3-8910A PSG,6-Bit R-2R DAC,Samples";"speaker Speaker, msm MSM5232 @6.144 MHz, aysnd AY-3-8910A PSG @1.536 MHz, dac1 6-Bit R-2R DAC, dac2 6-Bit R-2R DAC, samples Samples";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;GOOD;-;"Sports / Hockey";Sports;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P sim";https://archive.org/details/arcade_bullfgtr;"https://www.youtube.com/watch?v=q_YxyG4_I-E";-;0;NO;NO;NO;NO;English;"20 to 30 (Bad)";-;"20 to 30 (Bad)";NO;
chwrestl;"Champion Pro Wrestling";"1985";Sega;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;"sg1000a.cpp";"Mame 0.68";"2003-05-15";"Mame 0.195";"2018-02-28";0;2;1;1;1;RASTER;"0";HORIZONTAL;280;216;59.922738;"joystick (8-way)";"CRT 15kHz";"Sega 315-5033";"maincpu Sega 315-5033 @3.579545 MHz";"Speaker,SN76489A";"mono Speaker, snsnd SN76489A @3.579545 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Sports / Wrestling";Sports;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P sim";https://archive.org/details/arcade_chwrestl;"https://www.youtube.com/watch?v=V6t1ZOmc6Ew";-;0;NO;NO;NO;NO;English;"20 to 30 (Bad)";-;"20 to 30 (Bad)";NO;
devilfsh;"Devil Fish";"1982";Artic;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;scramble.cpp;"Mame 0.35b3";"1999-02-15";"Mame 0.195";"2018-02-28";0;1;2;1;1;RASTER;"90";VERTICAL;256;224;60.606061;"joystick (8-way)";"CRT 15kHz";"Z80";"maincpu Z80 @3.72 MHz, audiocpu Z80 @1.78975 MHz";"Speaker,AY-3-8910A PSG";"mono Speaker, 8910.1 AY-3-8910A PSG @1.78975 MHz, 8910.2 AY-3-8910A PSG @1.78975 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Maze / Collect";Maze;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";https://archive.org/details/arcade_devilfsh;"https://www.youtube.com/watch?v=Qn_NWGmjwqI";-;0;NO;NO;NO;NO;English;"20 to 30 (Bad)";-;"Cocktail, Upright";NO;
fantasy;"Fantasy (Germany)";"1981";SNK;YES;-;NO;-;fantasy;YES;NO;NO;-;NO;YES;NO;YES;"snk6502.cpp";"Mame 0.16";"1997-04-13";"Mame 0.187";"2017-06-28";0;0;2;1;1;RASTER;"90";VERTICAL;256;224;61.000000;"joystick (8-way)";"CRT 15kHz";"M6502";"maincpu M6502 @0.705562 MHz";"Speaker,SNK6502 Audio Custom,Samples,TI SN76477 CSG,Discrete Sound";"mono Speaker, snk6502 SNK6502 Audio Custom, samples Samples, sn76477.1 TI SN76477 CSG, discrete Discrete Sound";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;UNKNOWN;UNKNOWN;GOOD;-;Maze;Maze;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";-;"https://www.youtube.com/watch?v=JwOEArk7hMk";-;0;NO;NO;NO;NO;English;"20 to 30 (Bad)";-;"Cocktail, Upright";NO;
flyboy;Fly-Boy;"1982";Kaneko;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;fastfred.cpp;"Mame 0.31";"1998-04-25";"Mame 0.195";"2018-02-28";0;1;2;1;1;RASTER;"90";VERTICAL;256;224;60.000000;"joystick (8-way)";"CRT 15kHz";"Z80";"maincpu Z80 @3.108 MHz, audiocpu Z80 @1.554 MHz";"Speaker,AY-3-8910A PSG";"mono Speaker, ay8910.1 AY-3-8910A PSG @1.554 MHz, ay8910.2 AY-3-8910A PSG @1.554 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Sports / Hang Gliding";Sports;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";https://archive.org/details/arcade_flyboy;"https://www.youtube.com/watch?v=FRPsQL2Tux0";-;0;NO;NO;NO;NO;English;"20 to 30 (Bad)";"1982";"Cocktail, Upright";NO;
naughtyb;"Naughty Boy";"1982";Jaleco;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;naughtyb.cpp;"Mame 0.25";"1997-06-28";"Mame 0.195";"2018-02-28";0;1;1;1;1;RASTER;"90";VERTICAL;288;224;60.000000;"joystick (4-way)";"CRT 15kHz";"Z80";"maincpu Z80 @3 MHz";"Speaker,TMS36XX,Naughty Boy Custom Sound";"mono Speaker, tms TMS36XX @0.35 MHz, naughtyb_custom Naughty Boy Custom Sound";GOOD;GOOD;GOOD;GOOD;GOOD;PRELIMINARY;GOOD;GOOD;-;"Maze / Shooter Large";Maze;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";-;"https://www.youtube.com/watch?v=fdDGIT2Gx-Y";-;0;NO;NO;NO;NO;English;"20 to 30 (Bad)";-;"Cocktail, Upright";NO;
solarwar;"Solar War";"1979";Atari;NO;xsleena;YES;xsleena;-;YES;NO;NO;-;NO;YES;NO;YES;videopin.cpp;"Mame 0.33b1";"1998-05-03";"Mame 0.195";"2018-02-28";0;4;2;1;1;RASTER;"270";VERTICAL;304;256;60.000000;only_buttons;"CRT 15kHz";"M6502";"maincpu M6502 @0.756 MHz";"Speaker,Discrete Sound";"mono Speaker, discrete Discrete Sound";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Misc. / Pinball";Misc.;-;English;"Black & White";NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"4P alt";-;"https://www.youtube.com/watch?v=OyymiFAulzg";-;0;NO;NO;NO;NO;"Black & White";"20 to 30 (Bad)";"197x";"197x";NO;
