name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
homebas;"Home BASIC (Jpn)";1985;"Sega";YES;-;NO;-;-;
homemj1;"Home Mahjong (Jpn, v0)";1984;"Sega";NO;mahjong;YES;mahjong;-;
homemj;"Home Mahjong (Jpn, v1)";1984;"Sega";NO;mahjong;YES;mahjong;-;
huohuli;"Huo Hu Li (Tw)";1985?;"Aaronix";NO;zoom909;YES;zoom909;-;
huojiche;"Huojian Che (Tw)";1986?;"Jumbo";NO;roadfght;YES;roadfght;-;
hustle;"Hustle Chumy (Jpn)";1984;"Compile";YES;-;NO;-;-;
hyperspt;"Hyper Sports (Jpn)";1985;"Sega";YES;-;NO;-;-;
hypersptk;"Hyper Sports (Kor)";198?;"Samsung";NO;hyperspt;YES;hyperspt;-;
hypersptt;"Hyper Sports (Tw)";1985?;"Aaronix";NO;hyperspt;YES;hyperspt;-;
hypersp2;"Hyper Sports 2 (Tw)";198?;"Aaronix";YES;-;NO;-;-;
iq;"I.Q. (Kor)";1985?;"Unknown";NO;sokoban;YES;sokoban;-;
champkent;"Jiandao (Tw)";1986?;"Unknown";NO;champken;YES;champken;-;
jingwumn;"Jing Wu Men (Tw)";1985?;"Aaronix";NO;dragwang;YES;dragwang;-;
jingwumna;"Jing Wu Men (Tw, Alt)";1985?;"Aaronix";NO;dragwang;YES;dragwang;-;
kagaku;"Kagaku ~ Gensokigou Master (Jpn)";1983;"Sega";YES;-;NO;-;-;
jinzita;"King's Valley, Jinzita (Tw)";198?;"Aaronix";YES;-;NO;-;-;
moyuchua;"Knightmare, Moyu Chuanqi (Tw)";1986?;"Jumbo";YES;-;NO;-;-;
linkwrld;"Link World (Prototype?)";1987;"Abstract Software";YES;-;NO;-;-;
ldrun;"Lode Runner (Euro, Jpn)";1984;"Sega";YES;-;NO;-;-;
ldrunk;"Lode Runner (Kor)";1984?;"Unknown";NO;ldrun;YES;ldrun;-;
ldrunt;"Lode Runner (Tw)";1984?;"Aaronix";NO;ldrun;YES;ldrun;-;
magtree;"Magical Tree (Tw)";198?;"Aaronix";YES;-;NO;-;-;
mahjong;"Mahjong (Jpn)";1983;"Sega";YES;-;NO;-;-;
mahjonga;"Mahjong (Jpn, Alt)";1983;"Sega";NO;mahjong;YES;mahjong;-;
mahjongt;"Mahjong (Tw)";1983?;"Aaronix";NO;mahjong;YES;mahjong;-;
circusc;"Maxi Tuan ~ Circus Charlie (Tw)";198?;"Aaronix";YES;-;NO;-;-;
motianda;"Mo Tian Da Lou (Tw)";1985?;"Aaronix";NO;rocknbol;YES;rocknbol;-;
monacogpb;"Monaco GP (Jpn, v0)";1983;"Sega";NO;monacogp;YES;monacogp;-;
monacogpa;"Monaco GP (Jpn, v1)";1983;"Sega";NO;monacogp;YES;monacogp;-;
monacogp;"Monaco GP (Jpn, v2)";1983;"Sega";YES;-;NO;-;-;
monacogpt;"Monaco GP (Tw)";1983?;"Aaronix";NO;monacogp;YES;monacogp;-;
hangon2t2;"Motuo Feiche (Tw)";1985?;"Unknown";NO;hangon2;YES;hangon2;-;
castlet;"Mowang migong ~ The Castle (Tw)";1986?;"DahJee";NO;castle;YES;castle;-;
musicj;"Music (Jpn)";1983;"Sega";YES;-;NO;-;-;
nsub;"N-Sub (Euro?)";1988;"Sega";YES;-;NO;-;-;
nsuba;"N-Sub (Jpn)";1983;"Sega";NO;nsub;YES;nsub;-;
nsubb;"N-Sub (Jpn, Alt)";1983;"Sega";NO;nsub;YES;nsub;-;
nsubt;"N-Sub (Tw)";1983?;"Aaronix";NO;nsub;YES;nsub;-;
nihonshi;"Nihonshi Nenpyou (Jpn)";1983;"Sega";YES;-;NO;-;-;
ninjapri;"Ninja Princess (Jpn)";1986;"Sega";YES;-;NO;-;-;
matchpg;"Okamoto Ayako no Match Play Golf (Jpn, OMV)";1984?;"Tsukuda Original";YES;-;NO;-;-;
matchpga;"Okamoto Ayako no Match Play Golf (Jpn, OMV, Alt)";1984?;"Tsukuda Original";NO;matchpg;YES;matchpg;-;
matchpgt;"Okamoto Ayako no Match Play Golf (Tw)";1984?;"Aaronix";NO;matchpg;YES;matchpg;-;
orguss;"Orguss (Euro, Jpn)";1984;"Sega";YES;-;NO;-;-;
othello;"Othello (Jpn)";1985;"Sega";YES;-;NO;-;-;
pacar;"Pacar (Euro, Jpn)";1983;"Sega";YES;-;NO;-;-;
pacara;"Pacar (Jpn, Alt)";1983;"Sega";NO;pacar;YES;pacar;-;
pacart;"Pacar (Tw)";1983?;"Aaronix";NO;pacar;YES;pacar;-;
pachinko;"Pachinko (Jpn)";1983;"Sega";YES;-;NO;-;-;
pachink2;"Pachinko II (Jpn)";1984;"Sega";YES;-;NO;-;-;
pachink2t;"Pachinko II (Tw)";1984?;"Aaronix";NO;pachink2;YES;pachink2;-;
pingpong;"Ping Pong (Tw)";1985?;"Aaronix";YES;-;NO;-;-;
pitfall2a;"Pitfall II - The Lost Caverns (Jpn, v0)";1985;"Sega";NO;pitfall2;YES;pitfall2;-;
pitfall2;"Pitfall II - The Lost Caverns (Jpn, v1)";1985;"Sega";YES;-;NO;-;-;
popflame;"Pop Flamer (Euro, Jpn)";1983;"Sega";YES;-;NO;-;-;
popflamet;"Pop Flamer (Tw)";1983?;"Aaronix";NO;popflame;YES;popflame;-;
qbert;"Q*bert (Jpn, OMV)";1983;"Tsukuda Original";YES;-;NO;-;-;
qie;"Qi E (Tw)";1985?;"Aaronix";NO;dokidoki;YES;dokidoki;-;
herot;"Qing Feng Xia (Tw)";1985?;"Unknown";NO;hero;YES;hero;-;
champicet;"Qugunqiu (Tw)";1985?;"Unknown";NO;champice;YES;champice;-;
rallyx;"Rally-X (Tw)";1986?;"DahJee";YES;-;NO;-;-;
ninjaprit;"Renzhe Gongzhu (Tw)";1986?;"Unknown";NO;ninjapri;YES;ninjapri;-;
roadfght;"Road Fighter (Tw)";1986?;"Jumbo?";YES;-;NO;-;-;
rocknbol;"Rock n' Bolt (Jpn)";1985;"Sega";YES;-;NO;-;-;
safarihut;"Safari Hunting (Tw)";1983?;"Aaronix";NO;safarihu;YES;safarihu;-;
safarirc;"Safari Race (Euro?)";1988;"Sega";YES;-;NO;-;-;
safarircj;"Safari Race (Jpn)";1984;"Sega";NO;safarirc;YES;safarirc;-;
safarirct;"Safari Race (Tw)";1984?;"Aaronix";NO;safarirc;YES;safarirc;-;
3ninmj;"San-nin Mahjong (Jpn, OMV)";1984;"Tsukuda Original";NO;mahjong;YES;mahjong;-;
3ninmjt;"San-nin Mahjong (Tw)";1984?;"Aaronix";NO;mahjong;YES;mahjong;-;
cardctch;"Sega Card Catcher (Jpn)";198?;"Sega";YES;-;NO;-;-;
segaflip;"Sega Flipper (Euro, Jpn)";1983;"Sega";YES;-;NO;-;-;
segaflipa;"Sega Flipper (Jpn, Alt)";1983;"Sega";NO;segaflip;YES;segaflip;-;
music;"Sega Music Editor (Euro?)";198?;"Sega";YES;-;NO;-;-;
segagala;"Sega-Galaga (Jpn)";1983;"Sega";YES;-;NO;-;-;
segagala1;"Sega-Galaga (Jpn, Alt)";1983;"Sega";NO;segagala;YES;segagala;-;
sekaishi;"Sekaishi Nenpyou ~ Monbushou Shidouyouryou Junkyo (Jpn)";1983;"Sega";YES;-;NO;-;-;
serizawa;"Serizawa Hachidan no Tsumeshogi (Jpn)";1983;"Sega";YES;-;NO;-;-;
m2cp;"SG-1000 M2 Check Program";1984;"Sega";YES;-;NO;-;-;
shinnyus;"Shinnyushain Tooru Kun (Jpn)";1985;"Sega";YES;-;NO;-;-;
shinnyust;"Shinnyushain Tooru Kun (Tw)";19??;"Unknown";NO;shinnyus;YES;shinnyus;-;
sindbadm;"Sindbad Mystery (Euro, Jpn)";1983;"Sega";YES;-;NO;-;-;
sindbadmt;"Sindbad Mystery (Tw)";1983?;"Aaronix";NO;sindbadm;YES;sindbadm;-;
sokoban;"Soukoban (Jpn)";1985;"Sega";YES;-;NO;-;-;
sokobank;"Soukoban (Kor)";1985?;"Unknown";NO;sokoban;YES;sokoban;-;
sokobant;"Soukoban (Tw)";1985?;"Unknown";NO;sokoban;YES;sokoban;-;
spacearmb;"Space Armor (Jpn, v10, OMV)";1984;"Tsukuda Original";NO;spacearm;YES;spacearm;-;
spacearm;"Space Armor (Jpn, v20, OMV)";1984;"Tsukuda Original";YES;-;NO;-;-;
spacearma;"Space Armor (Jpn, v20, OMV, Alt)";1984;"Tsukuda Original";NO;spacearm;YES;spacearm;-;
spaceinv;"Space Invaders (Jpn)";1985;"Sega";YES;-;NO;-;-;
spaceinvt;"Space Invaders (Tw)";1985?;"Aaronix";NO;spaceinv;YES;spaceinv;-;
spacemnt;"Space Mountain (Jpn, OMV)";1983;"Tsukuda Original";YES;-;NO;-;-;
spacesla;"Space Slalom (Jpn)";1983;"Sega";YES;-;NO;-;-;
starfrce;"Star Force (Jpn)";1985;"Sega";YES;-;NO;-;-;
starfrcet;"Star Force (Tw)";1985?;"Aaronix";NO;starfrce;YES;starfrce;-;
starfrceta;"Star Force (Tw, Alt)";1985?;"Aaronix";NO;starfrce;YES;starfrce;-;
starjack1;"Star Jacker (Euro, Jpn, v1.1)";1983;"Sega";NO;starjack;YES;starjack;-;
starjack;"Star Jacker (Euro, Jpn, v1.2)";1983;"Sega";YES;-;NO;-;-;
starjack2;"Star Jacker (Jpn, v1.0)";1983;"Sega";NO;starjack;YES;starjack;-;
starjackt;"Star Jacker (Tw)";1983?;"Aaronix";NO;starjack;YES;starjack;-;
supertnk;"Super Tank (Jpn)";1986;"Sega";YES;-;NO;-;-;
supertnkk;"Super Tank (Kor)";1986?;"Unknown";NO;supertnk;YES;supertnk;-;
superuwol;"Super UWOL! SG-1000";2016;"Mojon Twins";YES;-;NO;-;-;
tansan4g;"Tanoshii Sansu ~ Shougaku 4-Nen Ge (Jpn)";1983;"Sega";YES;-;NO;-;-;
tansan4j;"Tanoshii Sansu ~ Shougaku 4-Nen Jou (Jpn)";1983;"Sega";NO;tansan4g;YES;tansan4g;-;
tansan4ja;"Tanoshii Sansu ~ Shougaku 4-Nen Jou (Jpn, Alt)";1983;"Sega";NO;tansan4g;YES;tansan4g;-;
tansan5g;"Tanoshii Sansu ~ Shougaku 5-Nen Ge (Jpn)";1983;"Sega";NO;tansan4g;YES;tansan4g;-;
tansan6g;"Tanoshii Sansu ~ Shougaku 6-Nen Ge (Jpn)";1983;"Sega";NO;tansan4g;YES;tansan4g;-;
tansan5j;"Tanoshii Sansuu ~ Shougaku 5-Nen Jou (Jpn)";1983;"Sega";NO;tansan4g;YES;tansan4g;-;
tansan6j;"Tanoshii Sansuu ~ Shougaku 6-Nen Jou (Jpn)";1983;"Sega";NO;tansan4g;YES;tansan4g;-;
wboyt;"Taotailang (Tw)";1986?;"Unknown";NO;wboy;YES;wboy;-;
terebioe;"Terebi Oekaki (Jpn)";1985;"Sega";YES;-;NO;-;-;
blckonyx;"The Black Onyx (Jpn)";1987;"Sega";YES;-;NO;-;-;
castle;"The Castle (Jpn)";1986;"Sega";YES;-;NO;-;-;
sxpao;"Twinbee (Tw)";1986?;"Jumbo";YES;-;NO;-;-;
uranaiac;"Uranai Angel Cutie (Jpn)";198?;"Sega";YES;-;NO;-;-;
csot;"Wanpi Gui (Tw)";1985?;"Unknown";NO;cso;YES;cso;-;
wboya;"Wonder Boy (Jpn, v0)";1986;"Sega";NO;wboy;YES;wboy;-;
wboy;"Wonder Boy (Jpn, v1)";1986;"Sega";YES;-;NO;-;-;
cloderunt;"Xun Bao Er Dai (Tw)";1985?;"Unknown";NO;cloderun;YES;cloderun;-;
yamato;"Yamato (Euro, Jpn)";1983;"Sega";YES;-;NO;-;-;
yamatoa;"Yamato (Euro, Jpn, Alt)";1983;"Sega";NO;yamato;YES;yamato;-;
yamatot;"Yamato (Tw)";1983?;"Aaronix";NO;yamato;YES;yamato;-;
yiear;"Yie Ar Kung-Fu (Tw)";1985?;"Aaronix";YES;-;NO;-;-;
dacike;"Yie Ar Kung-Fu II, Da Cike (Tw)";1986?;"DahJee";YES;-;NO;-;-;
homemjt;"Yon-nin Mahjong (Tw)";1984?;"Aaronix";NO;mahjong;YES;mahjong;-;
zaxxon;"Zaxxon (Jpn)";1985;"Sega";YES;-;NO;-;-;
zaxxont;"Zaxxon (Tw)";1985?;"Aaronix";NO;zaxxon;YES;zaxxon;-;
zippyrac;"Zippy Race (Jpn)";1983;"Sega";YES;-;NO;-;-;
zippyract;"Zippy Race (Tw)";1983?;"Aaronix";NO;zippyrac;YES;zippyrac;-;
zoom909;"Zoom 909 (Jpn)";1985;"Sega";YES;-;NO;-;-;

