name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
rotors;"Rotors (Jpn)";1984;"ASCII";YES;msx;NO;-;-;
runner;"Runner (Fra)";1986;"Loriciels";YES;msx;NO;-;-;
smzoom;"Saimazoom";2005;"Karoshi Corporation";YES;msx;NO;-;-;
salamand;"Salamander (Jpn)";1987;"Konami";YES;msx;NO;-;-;
salamandk;"Salamander - Operation X (Kor)";1988;"Zemina";NO;salamand;YES;salamand;-;
sasa;"Sasa (Jpn)";1984;"ASCII";YES;msx;NO;-;-;
sasaa;"Sasa (Jpn, Alt)";1984;"ASCII";NO;sasa;YES;sasa;-;
saurus;"Saurusland (Jpn)";1983;"Nihon Columbia";YES;msx;NO;-;-;
scarlet7;"Scarlet 7 - The Mightiest Women (Jpn)";1986;"Toshiba EMI";YES;msx;NO;-;-;
scentipede;"Scentipede";1986;"Aackosoft";YES;msx;NO;-;-;
scifi;"Science Fiction (Euro)";1986;"Eaglesoft";YES;msx;NO;-;-;
scion;"Scion (Jpn)";1985;"Sony";YES;msx;NO;-;-;
scramegg;"Scramble Eggs (Jpn)";1983;"Ample Software";YES;msx;NO;-;-;
seahuntr;"Sea Hunter (Euro)";1984;"DynaData?";YES;msx;NO;-;-;
seleniak;"Seleniak";2005;"Guzuta Raster Leisure";YES;msx;NO;-;-;
senjokam;"Senjou no Ookami (Jpn)";1987;"ASCII";YES;msx;NO;-;-;
senjyo;"Senjyo (Jpn)";1984;"Sony";YES;msx;NO;-;-;
senjyoa;"Senjyo (Jpn, Alt)";1984;"Sony";NO;senjyo;YES;senjyo;-;
sewersam;"Sewer Sam (Jpn)";1984;"Toshiba EMI";YES;msx;NO;-;-;
sharkh;"Shark Hunter (Euro)";1984;"Electric Software";YES;msx;NO;-;-;
shmup11;"Shmup! (v1.1)";2013;"IMANOK";YES;msx;NO;-;-;
shnax;"Shnax (Euro)";1985;"Kuma Computers";YES;msx;NO;-;-;
shouganai11;"Shouganai";2013;"Paxanga Soft";YES;msx;NO;-;-;
shogun;"Shougun (Jpn)";1987;"Nihon Dexter";YES;msx;NO;-;-;
shoutmat;"Shout Match (Jpn)";1987;"Victor";YES;msx;NO;-;-;
sshadow;"Silent Shadow (Euro?)";1988;"Topo Soft";YES;msx;NO;-;-;
sinbad;"Sinbad - Nanatsu no Bouken (Jpn)";1986;"Casio";YES;msx;NO;-;-;
sinkking;"Sink King";2005;"Guzuta Raster Leisure";YES;msx;NO;-;-;
skateair;"Skate Air";2006;"Yerami Soft";YES;msx;NO;-;-;
skicomm;"Ski Command (Jpn)";1985;"Casio";YES;msx;NO;-;-;
skicommk1;"Ski Command (Kor, Aproman)";198?;"Aproman";NO;skicomm;YES;skicomm;-;
skicommk2;"Ski Command (Kor, ProSoft)";198?;"ProSoft";NO;skicomm;YES;skicomm;-;
skooter;"Skooter (Jpn)";1988;"Pony Canyon";YES;msx;NO;-;-;
skootera;"Skooter (Jpn, Alt)";1988;"Pony Canyon";NO;skooter;YES;skooter;-;
skulexil;"Skull Exilon (Spa)";1988;"Iber Soft";YES;msx;NO;-;-;
skydiver;"Sky Diver (Jpn)";1984;"Hudson Soft";YES;msx;NO;-;-;
skyjag;"Sky Jaguar (Jpn)";1984;"Konami";YES;msx;NO;-;-;
skyjagk;"Sky Jaguar (Kor)";198?;"Zemina";NO;skyjag;YES;skyjag;-;
skygaldo;"Skygaldo (Jpn)";1986;"Magical Zoo";YES;msx;NO;-;-;
smackwac;"Smack Wacker (Euro)";1986;"Eaglesoft";YES;msx;NO;-;-;
snakeit;"Snake It (Euro)";1986?;"Eaglesoft";YES;msx;NO;-;-;
sofia;"Sofia (Jpn)";1988;"Dempa";YES;msx;NO;-;-;
sorcery;"Sorcery";1985;"Virgin Games";YES;msx;NO;-;-;
sokobank;"Soukoban (Kor)";1984?;"Qnix";NO;sokoban;YES;sokoban;-;
spacecmp;"Space Camp (Jpn)";1986;"Pack-In-Video";YES;msx;NO;-;-;
spacecmpa;"Space Camp (Jpn, Alt)";1986;"Pack-In-Video";NO;spacecmp;YES;spacecmp;-;
spaceinv;"Space Invaders (Jpn)";1985;"Nidecom";YES;msx;NO;-;-;
