name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
ggroundp;"Gain Ground (Euro, Prototype)";1990;"Sega";NO;gground;YES;gground;-;
galactpr;"Galactic Protector (Jpn)";1988;"Sega";YES;-;NO;-;-;
galaxian;"Galaxian (Kor)";199?;"HiCom";YES;-;NO;-;-;
gforce;"Galaxy Force (Euro, Bra)";1989;"Sega";YES;-;NO;-;-;
gforceu;"Galaxy Force (USA)";1989;"Activision";NO;gforce;YES;gforce;-;
gamebox;"Game Box Serie Esportes Radicais (Bra)";19??;"Tec Toy";YES;-;NO;-;-;
robocop;"Gangcheol RoboCop (Kor)";1992;"Sieco";YES;-;NO;-;-;
gangster;"Gangster Town (Euro, USA, Bra)";1987;"Sega";YES;-;NO;-;-;
gauntlet;"Gauntlet (Euro, Bra)";1990;"U.S. Gold";YES;-;NO;-;-;
punpun;"Geki Oko PunPun Maru (Version 20151031b?)";2013;"Future Driver";YES;-;NO;-;-;
georgeko;"George Foreman's KO Boxing (Euro, Bra)";1992;"Flying Edge";YES;-;NO;-;-;
gerald;"Geraldinho (Bra)";19??;"Tec Toy";NO;teddyboy;YES;teddyboy;-;
ghosth;"Ghost House (Euro, USA, Bra)";1986;"Sega";YES;-;NO;-;-;
ghosthc;"Ghost House (Euro, USA, Bra, Sega Card)";1986;"Sega";NO;ghosth;YES;ghosth;-;
ghosthj;"Ghost House (Jpn, MyCard)";1986;"Sega";NO;ghosth;YES;ghosth;-;
ghosthj1;"Ghost House (Jpn, Pirate?)";1986;"pirate";NO;ghosth;YES;ghosth;-;
ghosthk;"Ghost House (Kor)";198?;"Samsung";NO;ghosth;YES;ghosth;-;
ghosthcp;"Ghost House (Sega Card, Prototype)";1986;"Sega";NO;ghosth;YES;ghosth;-;
ghostbst;"Ghostbusters (Euro, USA, Kor)";1989;"Sega";YES;-;NO;-;-;
ghouls;"Ghouls'n Ghosts (Euro, USA, Bra)";1988;"Sega";YES;-;NO;-;-;
ghoulsd;"Ghouls'n Ghosts (USA, Demo)";1988;"Sega";NO;ghouls;YES;ghouls;-;
globald;"Global Defense (Euro, USA)";1987;"Sega";YES;-;NO;-;-;
globaldp;"Global Defense (Euro, USA, Prototype)";1987;"Sega";NO;globald;YES;globald;-;
dumpmats;"Gokuaku Doumei Dump Matsumoto (Jpn)";1986;"Sega";NO;prowres;YES;prowres;-;
goldnaxe;"Golden Axe (Euro, USA)";1989;"Sega";YES;-;NO;-;-;
gaxewarr;"Golden Axe Warrior (Euro, USA, Bra)";1990;"Sega";YES;-;NO;-;-;
golfaman;"Golfamania (Euro, Bra)";1990;"Sega";YES;-;NO;-;-;
golfamanp;"Golfamania (Prototype)";1990;"Sega";NO;golfaman;YES;golfaman;-;
golvell;"Golvellius (Euro, USA)";1988;"Sega";YES;-;NO;-;-;
gprider;"GP Rider (Euro, Bra)";1993;"Sega";YES;-;NO;-;-;
greatbas;"Great Baseball (Euro, USA, Bra)";1985;"Sega";YES;-;NO;-;-;
greatbasj;"Great Baseball (Jpn, MyCard)";1985;"Sega";NO;greatbas;YES;greatbas;-;
greatbasj1;"Great Baseball (Jpn, Pirate?)";1985;"pirate";NO;greatbas;YES;greatbas;-;
greatbsk;"Great Basketball (World)";1987;"Sega";YES;-;NO;-;-;
greatftb;"Great Football (World)";1987;"Sega";YES;-;NO;-;-;
greatglf;"Great Golf (Euro, USA) ~ Masters Golf (Japan)";1987;"Sega";YES;-;NO;-;-;
greatglf1;"Great Golf (Euro, USA, v1.0)";1987;"Sega";NO;greatglf;YES;greatglf;-;
greatglj;"Great Golf (Jpn)";1986;"Sega";YES;-;NO;-;-;
greatglk;"Great Golf (Kor)";19??;"Samsung?";NO;greatglj;YES;greatglj;-;
greatglfp;"Great Golf (Prototype)";1987;"Sega";NO;greatglf;YES;greatglf;-;
greatice;"Great Ice Hockey (Jpn, USA)";1987;"Sega";YES;-;NO;-;-;
greatscr;"Great Soccer (Euro)";1985;"Sega";YES;-;NO;-;-;
greatscrc;"Great Soccer (Euro, Sega Card)";1985;"Sega";NO;greatscr;YES;greatscr;-;
greatscrj;"Great Soccer (Jpn, MyCard)";1985;"Sega";NO;greatscr;YES;greatscr;-;
greatscrtw;"Great Soccer (Tw)";1985?;"Aaronix";NO;greatscr;YES;greatscr;-;
greattns;"Great Tennis (Jpn, MyCard)";1985;"Sega";NO;stennis;YES;stennis;-;
greatvol;"Great Volleyball (Euro, USA, Bra)";1987;"Sega";YES;-;NO;-;-;
greatvolj;"Great Volleyball (Jpn)";1987;"Sega";NO;greatvol;YES;greatvol;-;
gunsmoke;"Gun.Smoke (Kor)";1990;"ProSoft";YES;-;NO;-;-;
hajafuin;"Haja no Fuuin (Jpn)";1987;"Sega";NO;miracle;YES;miracle;-;
hangon;"Hang-On (Euro, Bra, Aus)";1985;"Sega";YES;-;NO;-;-;
hangonc;"Hang-On (Euro, Bra, Aus, Sega Card)";1985;"Sega";NO;hangon;YES;hangon;-;
hangonj;"Hang-On (Jpn, MyCard)";1985;"Sega";NO;hangon;YES;hangon;-;
hangonaw;"Hang-On and Astro Warrior (USA)";1986;"Sega";YES;-;NO;-;-;
hangonsh;"Hang-On and Safari Hunt (USA)";1986;"Sega";YES;-;NO;-;-;
hangonshp;"Hang-On and Safari Hunt (USA, Prototype)";1986;"Sega";NO;hangonsh;YES;hangonsh;-;
heavyw;"Heavyweight Champ (Euro)";1991;"Sega";YES;-;NO;-;-;
highsc;"High School! Kimengumi (Jpn)";1986;"Sega";YES;-;NO;-;-;
hokuto;"Hokuto no Ken (Jpn)";1986;"Sega";NO;blackblt;YES;blackblt;-;
hokutotw;"Hokuto no Ken (Tw)";1986?;"Aaronix";NO;blackblt;YES;blackblt;-;
homea;"Home Alone (Euro)";1993;"Sega";YES;-;NO;-;-;
hongkildong;"Hong Kil Dong (Kor)";1991;"Clover";YES;-;NO;-;-;
hook;"Hook (Euro, Prototype)";19??;"Sega";YES;-;NO;-;-;
hoshiw;"Hoshi wo Sagashite... (Jpn)";1988;"Sega";YES;-;NO;-;-;
