name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
smba;"Super Mario World ~ Super Mario Bros. (Pirate, Alt)";199?;"<unlicensed>";NO;smb;YES;smb;-;
smgpa;"Super Monaco GP (Euro, Jpn)";1990;"Sega";NO;smgp;YES;smgp;-;
smgp;"Super Monaco GP (Euro, Jpn, Rev. A)";1990;"Sega";YES;-;NO;-;-;
smgpj;"Super Monaco GP (Jpn)";1990;"Sega";NO;smgp;YES;smgp;-;
smgpu;"Super Monaco GP (USA)";1990;"Sega";NO;smgp;YES;smgp;-;
superoff;"Super Off Road (Euro, USA)";1994;"Ballistic";YES;-;NO;-;-;
jordanb1;"Super One on One - Jordan Vs Bird (Euro, USA)";1992;"Electronic Arts";NO;jordanb;YES;jordanb;-;
jordanb;"Super One on One - Jordan Vs Bird (Euro, USA, v1.1)";1992;"Electronic Arts";YES;-;NO;-;-;
jordanbj;"Super One on One - Jordan Vs Bird (Jpn)";1993;"Electronic Arts Victor";NO;jordanb;YES;jordanb;-;
srealbas;"Super Real Basketball (Euro)";1990;"Sega";YES;-;NO;-;-;
srealbasj;"Super Real Basketball (Jpn, Kor)";1990;"Sega";NO;srealbas;YES;srealbas;-;
srobowrs;"Super Robot Wars (Rus)";199?;"Glorysun";NO;trgearth;YES;trgearth;-;
sskid;"Super Skidmarks (Euro, J-Cart)";1995;"Codemasters";YES;-;NO;-;-;
sskidp;"Super Skidmarks (USA, Prototype)";1995;"Codemasters";NO;sskid;YES;sskid;-;
ssmashtv;"Super Smash TV (Euro, USA)";1992;"Flying Edge";YES;-;NO;-;-;
ssf2;"Super Street Fighter II - The New Challengers (Euro)";1994;"Capcom";YES;-;NO;-;-;
ssf2j;"Super Street Fighter II - The New Challengers (Jpn)";1994;"Capcom";NO;ssf2;YES;ssf2;-;
ssf2u;"Super Street Fighter II - The New Challengers (USA)";1994;"Capcom";NO;ssf2;YES;ssf2;-;
stbladj;"Super Thunder Blade (Jpn, Launch Cart)";1988;"Sega";NO;stblad;YES;stblad;-;
stblad;"Super Thunder Blade (World)";1989;"Sega";YES;-;NO;-;-;
svolleyj;"Super Volley Ball (Jpn)";1991;"Video System";NO;svolley;YES;svolley;-;
svolley;"Super Volley Ball (USA)";1991;"Video System";YES;-;NO;-;-;
svolley1;"Super Volley Ball (USA, Alt)";1991;"Video System";NO;svolley;YES;svolley;-;
supermanu;"Superman (USA)";1992;"Sunsoft";NO;superman;YES;superman;-;
supermanp;"Superman (USA, Prototype)";1992;"Sunsoft";NO;superman;YES;superman;-;
superman;"Superman - The Man of Steel (Euro)";1993;"Virgin Games";YES;-;NO;-;-;
surging;"Surging Aura (Jpn)";1995;"Sega";YES;-;NO;-;-;
swamp;"Swamp Thing (USA, Prototype)";1991;"NuVision";YES;-;NO;-;-;
swordsod;"Sword of Sodan (Euro, USA)";1990;"Electronic Arts";YES;-;NO;-;-;
swordsodj;"Sword of Sodan (Jpn)";1990;"Sega";NO;swordsod;YES;swordsod;-;
vermil;"Sword of Vermilion (Euro, USA)";1990;"Sega";YES;-;NO;-;-;
sydvalis;"Syd of Valis (USA)";1992;"Renovation";YES;-;NO;-;-;
sylvestr;"Sylvester & Tweety in Cagey Capers (Euro)";1994;"Time Warner Interactive";YES;-;NO;-;-;
sylvestru;"Sylvester and Tweety in Cagey Capers (USA)";1993;"Time Warner Interactive";NO;sylvestr;YES;sylvestr;-;
syndicat;"Syndicate (Euro, USA)";1994;"Electronic Arts";YES;-;NO;-;-;
tgunii;"T*GUN II";2015;"2015 TooManyGames ";YES;-;NO;-;-;
term2;"T2 - Terminator 2 - Judgment Day (Euro, USA)";1991;"Flying Edge";YES;-;NO;-;-;
t2ag;"T2 - The Arcade Game (Euro, USA)";1992;"Acclaim Entertainment";YES;-;NO;-;-;
t2agj;"T2 - The Arcade Game (Jpn)";1994;"Acclaim Japan";NO;t2ag;YES;t2ag;-;
t2agp;"T2 - The Arcade Game (USA, Prototype)";1992;"Acclaim Entertainment";NO;t2ag;YES;t2ag;-;
t3ag;"T3 - The Arcade Game (Rus)";199?;"<unknown>";NO;t2ag;YES;t2ag;-;
cars;"Tachki (Rus)";199?;"<unknown>";NO;sskid;YES;sskid;-;
cars2;"Tachki 2 (Rus)";199?;"<unknown>";NO;cproam;YES;cproam;-;
taikoris;"Taikou Risshiden (Jpn)";1993;"Koei";YES;-;NO;-;-;
taiwan;"Taiwan Daheng (Chi)";1994;"C&E";YES;-;NO;-;-;
talespin;"TaleSpin (Euro, USA)";1992;"Sega";YES;-;NO;-;-;
talmit;"Talmit's Adventure (Euro)";1991;"Namco";YES;-;NO;-;-;
tank2011;"Tanki 2011 (Rus)";199?;"<unknown>";YES;-;NO;-;-;
trgearth;"Target Earth (USA)";1990;"Dreamworks Games";YES;-;NO;-;-;
taskfhexj;"Task Force Harrier EX (Jpn)";1991;"Treco";NO;taskfhex;YES;taskfhex;-;
taskfhex;"Task Force Harrier EX (USA)";1991;"Treco";YES;-;NO;-;-;
tazmania;"Taz-Mania (World)";1992;"Sega";YES;-;NO;-;-;
tc2000;"TC 2000 (Arg)";199?;"<unlicensed>";YES;-;NO;-;-;
technocl;"Techno Clash (Euro, USA)";1993;"Electronic Arts";YES;-;NO;-;-;
tecnocop;"Technocop (USA)";1990;"Razorsoft";YES;-;NO;-;-;
tecmocup;"Tecmo Cup (Jpn, Prototype?)";199?;"<unknown>";YES;-;NO;-;-;
tecmobb;"Tecmo Super Baseball (USA)";1994;"Tecmo";YES;-;NO;-;-;
tecmosbwj;"Tecmo Super Bowl (Jpn)";1993;"Tecmo";NO;tecmosbw;YES;tecmosbw;-;
tecmosbwa;"Tecmo Super Bowl (USA, 199309)";1993;"Tecmo";NO;tecmosbw;YES;tecmosbw;-;
tecmosbw;"Tecmo Super Bowl (USA, 199310)";1993;"Tecmo";YES;-;NO;-;-;
tecmosb2;"Tecmo Super Bowl II (USA)";1994;"Tecmo";YES;-;NO;-;-;
tecmosb2j;"Tecmo Super Bowl II - Special Edition (Jpn)";1994;"Tecmo";NO;tecmosb2;YES;tecmosb2;-;
tecmosb3;"Tecmo Super Bowl III - Final Edition (USA)";1995;"Tecmo";YES;-;NO;-;-;
tecmohck;"Tecmo Super Hockey (USA)";1994;"Tecmo";YES;-;NO;-;-;
tecmonbaj;"Tecmo Super NBA Basketball (Jpn)";1994;"Tecmo";NO;tecmonba;YES;tecmonba;-;
tecmonba;"Tecmo Super NBA Basketball (USA)";1993;"Tecmo";YES;-;NO;-;-;
tecmow92;"Tecmo World Cup '92 (Jpn)";1992;"Sims";YES;-;NO;-;-;
tecmowc;"Tecmo World Cup (USA)";1990;"Tecmo";YES;-;NO;-;-;
teddyboy;"Teddy Boy Blues (Jpn, SegaNet)";1991;"Sega";YES;-;NO;-;-;
tmhthh;"Teenage Mutant Hero Turtles - The Hyperstone Heist (Euro)";1992;"Konami";YES;-;NO;-;-;
tmhttf;"Teenage Mutant Hero Turtles - Tournament Fighters (Euro)";1993;"Konami";YES;-;NO;-;-;
tmntshj;"Teenage Mutant Ninja Turtles - Return of the Shredder (Jpn)";1992;"Konami";NO;tmhthh;YES;tmhthh;-;
tmnthh;"Teenage Mutant Ninja Turtles - The Hyperstone Heist (USA)";1992;"Konami";NO;tmhthh;YES;tmhthh;-;
tmnttfj;"Teenage Mutant Ninja Turtles - Tournament Fighters (Jpn)";1993;"Konami";NO;tmhttf;YES;tmhttf;-;
tmnttfu;"Teenage Mutant Ninja Turtles - Tournament Fighters (USA)";1993;"Konami";NO;tmhttf;YES;tmhttf;-;
tmntru;"Teenage Mutant Ninja Turtles - Vozvrashchenie Legendy (Rus)";199?;"<unknown>";YES;-;NO;-;-;
teiketsu;"Teitoku no Ketsudan (Jpn)";1992;"Koei";NO;pto;YES;pto;-;
tekkn3sp;"Tekken 3 Special";199?;"<unlicensed>";YES;-;NO;-;-;
telmah;"Tel-Tel Mahjong (Jpn)";1990;"Sunsoft";YES;-;NO;-;-;
telstad;"Tel-Tel Stadium (Jpn)";1990;"Sunsoft";YES;-;NO;-;-;
telebrad;"Telebradesco Residencia (Bra)";199?;"<unknown>";YES;-;NO;-;-;
td2;"Test Drive II - The Duel (Euro, USA)";1992;"Ballistic";YES;-;NO;-;-;
tetris;"Tetris (Jpn)";1989;"Tetris";YES;-;NO;-;-;
tetris1;"Tetris (Pirate?)";199?;"<unknown>";YES;-;NO;-;-;
addfam;"The Addams Family (Euro, USA)";1994;"Flying Edge";YES;-;NO;-;-;
addfamp1;"The Addams Family (USA, Prototype)";1994;"Flying Edge";NO;addfam;YES;addfam;-;
addfamp2;"The Addams Family (USA, Prototype, Alt)";1994;"Flying Edge";NO;addfam;YES;addfam;-;
advbatr;"The Adventures of Batman & Robin (Euro)";1995;"Sega";YES;-;NO;-;-;
advbatrp12;"The Adventures of Batman & Robin (Prototype, 19950406)";1995;"Sega";NO;advbatr;YES;advbatr;-;
advbatrp11;"The Adventures of Batman & Robin (Prototype, 19950410)";1995;"Sega";NO;advbatr;YES;advbatr;-;
advbatrp10;"The Adventures of Batman & Robin (Prototype, 19950411)";1995;"Sega";NO;advbatr;YES;advbatr;-;
advbatrp09;"The Adventures of Batman & Robin (Prototype, 19950418)";1995;"Sega";NO;advbatr;YES;advbatr;-;
advbatrp08;"The Adventures of Batman & Robin (Prototype, 19950419)";1995;"Sega";NO;advbatr;YES;advbatr;-;
advbatrp07;"The Adventures of Batman & Robin (Prototype, 19950421)";1995;"Sega";NO;advbatr;YES;advbatr;-;
advbatrp06;"The Adventures of Batman & Robin (Prototype, 19950422)";1995;"Sega";NO;advbatr;YES;advbatr;-;
advbatrp05;"The Adventures of Batman & Robin (Prototype, 19950424)";1995;"Sega";NO;advbatr;YES;advbatr;-;
advbatrp04;"The Adventures of Batman & Robin (Prototype, 19950426)";1995;"Sega";NO;advbatr;YES;advbatr;-;
advbatrp03;"The Adventures of Batman & Robin (Prototype, 19950427)";1995;"Sega";NO;advbatr;YES;advbatr;-;
advbatrp02;"The Adventures of Batman & Robin (Prototype, 19950428)";1995;"Sega";NO;advbatr;YES;advbatr;-;
advbatrp01;"The Adventures of Batman & Robin (Prototype, 19950501)";1995;"Sega";NO;advbatr;YES;advbatr;-;
advbatru;"The Adventures of Batman & Robin (USA)";1995;"Sega";NO;advbatr;YES;advbatr;-;
mightmax;"The Adventures of Mighty Max (Euro)";1994;"Ocean";YES;-;NO;-;-;
mightmaxu;"The Adventures of Mighty Max (USA)";1994;"Ocean";NO;mightmax;YES;mightmax;-;
rockybw;"The Adventures of Rocky and Bullwinkle and Friends (USA)";1993;"Absolute Entertainment";YES;-;NO;-;-;
