name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
4enraya;4 En Raya (set 1);1990;IDSA;YES;-;NO;-;-;
4dwarrio;4-D Warriors (315-5162);1985;Coreland / Sega;YES;-;NO;-;-;
ad2083;A.D. 2083 [Incomplete Sound];1983;Midcoin;YES;-;NO;-;-;
airwolf;Airwolf;1987;Kyugo;YES;-;NO;-;-;
appoooh;Appoooh;1984;Sanritsu / Sega;YES;-;NO;-;-;
arbalest;Arbalester;1989;Seta;YES;-;NO;-;-;
athena;Athena;1986;SNK;YES;-;NO;-;-;
brapboys;B.Rap Boys (World);1992;Kaneko;YES;-;NO;-;-;
bcruzm12;Battle Cruiser M-12;1983;Sigma Enterprises Inc.;YES;-;NO;-;-;
btlkroad;Battle K-Road;1994;Psikyo;YES;-;NO;-;-;
atlantis;Battle of Atlantis (set 1);1981;Comsoft;YES;-;NO;-;-;
berabohm;Beraboh Man (Japan, Rev C);1988;Namco;YES;-;NO;-;-;
bodyslam;Body Slam (8751 317-0015);1986;Sega;YES;-;NO;-;-;
bombbee;Bomb Bee;1979;Namco;YES;-;NO;-;-;
bongo;Bongo;1983;Jetsoft;YES;-;NO;-;-;
bullet;Bullet (FD1094 317-0041);1987;Sega;YES;-;NO;-;-;
calipso;Calipso;1982;Stern (Tago license);YES;-;NO;-;-;
calorie;Calorie Kun vs Moguranian;1986;Sega;YES;-;NO;-;-;
chanbara;Chanbara;1985;Data East;YES;-;NO;-;-;
cheekyms;Cheeky Mouse;1980;Universal;YES;-;NO;-;-;
commsega;Commando (Sega);1983;Sega;YES;-;NO;-;-;
cavenger;Cosmic Avenger;1981;Universal;YES;-;NO;-;-;
cutieq;Cutie Q;1979;Namco;YES;-;NO;-;-;
dambustr;Dambusters (US, set 1);1981;South West Research;YES;-;NO;-;-;
darkplnt;Dark Planet [Dial doesn't work very well];1982;Stern;YES;-;NO;-;-;
diamond;Diamond Run;1985;KH Video;YES;-;NO;-;-;
drgnunit;Dragon Unit / Castle of Dragon;1989;Seta;YES;-;NO;-;-;
drakton;Drakton (DK conversion) [No sound];1984;Epos Corporation;YES;-;NO;-;-;
faceoff;Face Off (Japan 2 Players);1988;Namco;YES;-;NO;-;-;
gwarrior;Galactic Warriors;1985;Konami;YES;-;NO;-;-;
geebee;Gee Bee;1978;Namco;YES;-;NO;-;-;
gmgalax;Ghostmuncher Galaxian (bootleg) [Bootleg];1981;LAX;YES;-;NO;-;-;
hero;Hero [Parent set for working drivers];1984;Century Electronics / Seatongrove Ltd;YES;-;NO;-;-;
hippodrm;Hippodrome (US);1989;Data East USA;YES;-;NO;-;-;
hunchbak;Hunchback (set 1) [Parent set for working drivers];1983;Century Electronics;YES;-;NO;-;-;
huncholy;Hunchback Olympic [Parent set for working drivers];1984;Seatongrove Ltd;YES;-;NO;-;-;
jpopnics;Jumping Pop (Nics, Korean bootleg of Plump Pop);1992;Nics;YES;-;NO;-;-;
kungfut;Kung-Fu Taikun;1984;Seibu Kaihatsu Inc.;YES;-;NO;-;-;
ladymstr;Lady Master of Kung Fu;1985;Kaneko / Taito;YES;-;NO;-;-;
legendos;Legend of Success Joe / Ashitano Joe Densetsu;1991;SNK / WAVE;YES;neogeo;NO;-;-;
lordgun;Lord of Gun (USA) [Imperfect graphics and sound];1994;IGS;YES;-;NO;-;-;
mainsnk;Main Event (1984);1984;SNK;YES;-;NO;-;-;
mwarr;Mighty Warriors;199?;Elettronica Video-Games S.R.L.;YES;-;NO;-;-;
orbitron;Orbitron;19??;Signatron USA;YES;-;NO;-;-;
ozmawars;Ozma Wars (set 1);1979;SNK;YES;-;NO;-;invaders;
ozon1;Ozon I;1983;Proma;YES;-;NO;-;-;
porky;Porky;1985;Shinkai Inc. (Magic Eletronics Inc. license);YES;-;NO;-;-;
redrobin;Red Robin;1986;Elettronolo;YES;-;NO;-;-;
robowres;Robo Wres 2001;1986;Sanritsu / Sega;YES;-;NO;-;-;
safarir;Safari Rally (World);1979;SNK (Taito license);YES;-;NO;-;-;
sauro;Sauro [Missing speech chip!];1987;Tecfri;YES;-;NO;-;-;
schmeisr;Schmeiser Robo (Japan);1993;Hot-B;YES;-;NO;-;-;
solfigtr;Solitary Fighter (World);1991;Taito Corporation Japan;YES;-;NO;-;-;
springer;Springer;1982;Orca;YES;-;NO;-;-;
scessjoe;Success Joe (World) [Incomplete sound];1990;Taito Corporation / Wave;YES;-;NO;-;-;
survarts;Survival Arts (World);1993;Sammy;YES;-;NO;-;-;
bounty;The Bounty;1982;Orca;YES;-;NO;-;-;
percuss;The Percussor;1981;Orca;YES;-;NO;-;-;
thoop;Thunder Hoop (Ver. 1);1992;Gaelco;YES;-;NO;-;-;
tripool;Tri-Pool (Casino Tech);1981;Noma (Casino Tech license);YES;-;NO;-;-;
trckydoc;Tricky Doc (set 1);1987;Tecfri;YES;-;NO;-;-;
twineagl;Twin Eagle - Revenge Joe's Brother;1988;Seta (Taito license);YES;-;NO;-;-;
twinfalc;Twin Falcons;1989;Philko (Poara Enterprises license);YES;-;NO;-;-;
ultraman;Ultraman (Japan);1991;Banpresto / Bandai;YES;-;NO;-;-;
hustler;Video Hustler;1981;Konami;YES;-;NO;-;-;
wallc;Wall Crash (set 1);1984;Midcoin;YES;-;NO;-;-;
wanted;Wanted;1984;Sigma Enterprises Inc.;YES;-;NO;-;-;
warofbug;War of the Bugs or Monsterous Manouvers in a Mushroom Maze;1981;Armenia;YES;-;NO;-;-;
warpwarp;Warp & Warp;1981;Namco;YES;-;NO;-;-;
yamato;Yamato (US);1983;Sega;YES;-;NO;-;-;
zintrckb;Zintrick / Oshidashi Zentrix (hack / bootleg) [Bootleg];1996;hack / bootleg;YES;neogeo;NO;-;-;
zoar;Zoar [Sound issues..];1982;Data East USA;YES;-;NO;-;-;
zodiack;Zodiack;1983;Orca (Esco Trading Co., Inc. license);YES;-;NO;-;-;
