name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
pitstopa;"Pitstop (Alt)";1983;"Epyx";NO;pitstop;YES;pitstop;-;
popeye;"Popeye";1983;"Parker Brothers";YES;coleco;NO;-;-;
popeyea;"Popeye (Alt)";1983;"Parker Brothers";NO;popeye;YES;popeye;-;
porkys;"Porky's (Prototype)";1983;"Fox Video Games";YES;coleco;NO;-;-;
power;"Power Lords: Quest for Volcan (Prototype)";1984;"Probe 2000";YES;coleco;NO;-;-;
pquest;"Princess Quest";2012;"Coleco*Nanochess";YES;coleco;NO;-;-;
qbert;"Q*bert";1983;"Parker Brothers";YES;coleco;NO;-;-;
qberta;"Q*bert (Alt)";1983;"Parker Brothers";NO;qbert;YES;qbert;-;
qbertqub;"Q*bert Qubes";1984;"Parker Brothers";YES;coleco;NO;-;-;
quintana;"Quest for Quintana Roo";1983;"Sunrise Software";YES;coleco;NO;-;-;
quintanaa;"Quest for Quintana Roo (Alt)";1983;"Sunrise Software";NO;quintana;YES;quintana;-;
questgc;"Quest for the Golden Chalice";2012;"Coleco*Team Pixelboy";YES;coleco;NO;-;-;
riveraid;"River Raid";1984;"Activision";YES;coleco;NO;-;-;
robinh;"Robin Hood";1984;"Xonox";YES;coleco;NO;-;-;
robinha;"Robin Hood (Alt)";1984;"Xonox";NO;robinh;YES;robinh;-;
rocnrope;"Roc 'n Rope";1984;"Coleco";YES;coleco;NO;-;-;
rockbolt;"Rock 'n Bolt";1984;"Telegames";YES;coleco;NO;-;-;
rockbolta;"Rock 'n Bolt (Alt)";1984;"Telegames";NO;rockbolt;YES;rockbolt;-;
rocky;"Rocky: Super Action Boxing";1983;"Coleco";YES;coleco;NO;-;-;
rollover;"Rolloverture";1983;"Sunrise Software";YES;coleco;NO;-;-;
sammylf;"Sammy Lightfoot";1983;"Sierra On-Line";YES;coleco;NO;-;-;
sammylfa;"Sammy Lightfoot (Alt)";1983;"Sierra On-Line";NO;sammylf;YES;sammylf;-;
secalpha;"Sector Alpha";1983;"Spectravideo";YES;coleco;NO;-;-;
sewersam;"Sewer Sam";1984;"Interphase";YES;coleco;NO;-;-;
lancelot;"Sir Lancelot";1983;"Xonox";YES;coleco;NO;-;-;
skiing;"Skiing";1986;"Telegames";YES;coleco;NO;-;-;
slither;"Slither";1983;"Coleco";YES;coleco;NO;-;-;
danslither;"Slither (Joystick Version)";1983;"Coleco*Daniel Bienvenu";NO;slither;YES;slither;-;
slurpy;"Slurpy";1984;"Xonox";YES;coleco;NO;-;-;
smurfpnt;"Smurf Paint 'n' Play Workshop";1983;"Coleco";YES;coleco;NO;-;-;
smurfply;"Smurf Play and Learn (Prototype)";1982;"Coleco";YES;coleco;NO;-;-;
smurf;"Smurf Rescue in Gargamel's Castle";1982;"Coleco";YES;coleco;NO;-;-;
smurfa;"Smurf Rescue in Gargamel's Castle (Alt)";1982;"Coleco";NO;smurf;YES;smurf;-;
spacfury;"Space Fury";1983;"Coleco";YES;coleco;NO;-;-;
panic;"Space Panic";1983;"Coleco";YES;coleco;NO;-;-;
spectron;"Spectron";1983;"Spectravideo";YES;coleco;NO;-;-;
spyhunt;"Spy Hunter";1984;"Coleco";YES;coleco;NO;-;-;
spyhuntp1;"Spy Hunter (Prototype, v13)";1984;"Coleco";NO;spyhunt;YES;spyhunt;-;
spyhuntp;"Spy Hunter (Prototype, v22)";1984;"Coleco";NO;spyhunt;YES;spyhunt;-;
squishem;"Squish 'em Sam!";1984;"Interphase";YES;coleco;NO;-;-;
startrek;"Star Trek: Strategic Operations Simulator ";1984;"Coleco";YES;coleco;NO;-;-;
starwars;"Star Wars: The Arcade Game";1984;"Parker Brothers";YES;coleco;NO;-;-;
steam;"Steamroller (Prototype)";1984;"Activision";YES;coleco;NO;-;-;
strikeit;"Strike It!";1983;"Telegames";YES;coleco;NO;-;-;
subroc;"Subroc";1983;"Coleco";YES;coleco;NO;-;-;
sabaseb;"Super Action Baseball";1983;"Coleco";YES;coleco;NO;-;-;
safootb;"Super Action Football";1984;"Coleco";YES;coleco;NO;-;-;
saftsocc;"Super Action Football (Super Action Soccer clone)";1984;"Coleco";NO;sasoccer;YES;sasoccer;-;
sasoccer;"Super Action Soccer";1984;"Coleco";YES;coleco;NO;-;-;
scobra;"Super Cobra";1983;"Parker Brothers";YES;coleco;NO;-;-;
scobraa;"Super Cobra (Alt)";1983;"Parker Brothers";NO;scobra;YES;scobra;-;
suprtest;"Super Controller Test Cartridge";1983;"Coleco";YES;coleco;NO;-;-;
sprcross;"Super Cross Force";1983;"Spectravideo";YES;coleco;NO;-;-;
sprcrossa;"Super Cross Force (Alt)";1983;"Spectravideo";NO;sprcross;YES;sprcross;-;
superdk;"Super DK! (Prototype)";1982;"Nintendo";YES;coleco;NO;-;-;
suprdkjr;"Super DK! Junior (Prototype)";1983;"Nintendo";YES;coleco;NO;-;-;
ssketch;"Super Sketch";1984;"Personal Peripherals";YES;coleco;NO;-;-;
sword;"Sword and Sorcerer (Prototype)";1983;"Coleco";YES;coleco;NO;-;-;
tankwars;"Tank Wars";1983;"Telegames";YES;coleco;NO;-;-;
tapper;"Tapper";1984;"Coleco";YES;coleco;NO;-;-;
tarzan;"Tarzan: From out of the Jungle";1983;"Coleco";YES;coleco;NO;-;-;
telly;"Telly Turtle";1984;"Coleco";YES;coleco;NO;-;-;
bbears;"The Berenstain Bears (Prototype)";1984;"Coleco";YES;coleco;NO;-;-;
dambust;"The Dam Busters";1984;"Coleco";YES;coleco;NO;-;-;
hazzard;"The Dukes of Hazzard";1984;"Coleco";YES;coleco;NO;-;-;
heista;"The Heist (Alt)";1983;"Micro Fun";NO;heist;YES;heist;-;
yolk;"The Yolks on You (Prototype)";1983;"Fox Video Games";YES;coleco;NO;-;-;
threshld;"Threshold";1983;"Sierra On-Line";YES;coleco;NO;-;-;
timeplt;"Time Pilot";1983;"Coleco";YES;coleco;NO;-;-;
tomarc;"Tomarc the Barbarian";1984;"Xonox";YES;coleco;NO;-;-;
ttennis;"Tournament Tennis";1984;"Coleco";YES;coleco;NO;-;-;
tunnels;"Tunnels and Trolls (Demo)";1983;"Coleco";YES;coleco;NO;-;-;
turbo;"Turbo";1982;"Coleco";YES;coleco;NO;-;-;
tutankhm;"Tutankham";1983;"Parker Brothers";YES;coleco;NO;-;-;
tutankhma;"Tutankham (Alt)";1983;"Parker Brothers";NO;tutankhm;YES;tutankhm;-;
upndown;"Up'n Down";1984;"Sega";YES;coleco;NO;-;-;
venture;"Venture";1982;"Coleco";YES;coleco;NO;-;-;
victory;"Victory";1983;"Coleco";YES;coleco;NO;-;-;
hustler;"Video Hustler (Prototype)";1984;"Coleco";YES;coleco;NO;-;-;
hustler1;"Video Hustler (Prototype, 19840727)";1984;"Konami";NO;hustler;YES;hustler;-;
wargames;"War Games";1984;"Coleco";YES;coleco;NO;-;-;
wargamesp;"War Games (Prototype, 0417)";1984;"Coleco";NO;wargames;YES;wargames;-;
warroom;"War Room";1983;"Probe 2000";YES;coleco;NO;-;-;
wingwar;"Wing War";1983;"Imagic";YES;coleco;NO;-;-;
wizmath;"Wizard of Id's Wizmath";1984;"Sierra On-Line";YES;coleco;NO;-;-;
wordfeud;"Word Feud";1984;"K-Tel";YES;coleco;NO;-;-;
zaxxon;"Zaxxon";1982;"Coleco";YES;coleco;NO;-;-;
zenji;"Zenji";1984;"Activision";YES;coleco;NO;-;-;
coleco;"ColecoVision System BIOS [BIOS only]";1982;"Coleco";YES;-;NO;-;-;

