name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
landill;"Land of Illusion Starring Mickey Mouse (Euro, USA)";1993;"Sega";YES;-;NO;-;-;
lastact;"Last Action Hero (USA)";1992;"Sony Imagesoft";YES;-;NO;-;-;
legndill;"Legend of Illusion Starring Mickey Mouse (Euro, USA)";1994;"Sega";YES;-;NO;-;-;
legndillp6;"Legend of Illusion Starring Mickey Mouse (Prototype, 19940922)";1994;"Sega";NO;legndill;YES;legndill;-;
legndillp4;"Legend of Illusion Starring Mickey Mouse (Prototype, 19940930)";1994;"Sega";NO;legndill;YES;legndill;-;
legndillp5;"Legend of Illusion Starring Mickey Mouse (Prototype, 19940930-SEL)";1994;"Sega";NO;legndill;YES;legndill;-;
legndillp3;"Legend of Illusion Starring Mickey Mouse (Prototype, 19941011)";1994;"Sega";NO;legndill;YES;legndill;-;
legndillp2;"Legend of Illusion Starring Mickey Mouse (Prototype, 19941014)";1994;"Sega";NO;legndill;YES;legndill;-;
legndillp1;"Legend of Illusion Starring Mickey Mouse (Prototype, 19941017)";1994;"Sega";NO;legndill;YES;legndill;-;
lemmings;"Lemmings (World)";1992;"Sega";YES;-;NO;-;-;
lemmingsp;"Lemmings (World, Prototype)";1992;"Sega";NO;lemmings;YES;lemmings;-;
lemming2;"Lemmings 2 - The Tribes (Euro, Prototype)";1994;"Psygnosis";YES;-;NO;-;-;
lunar;"Lunar - Sanposuru Gakuen (Jpn)";1996;"Game Arts";YES;-;NO;-;-;
madden95;"Madden NFL '95 (USA)";1995;"Electronic Arts";YES;-;NO;-;-;
madden96;"Madden NFL '96 (Euro, USA)";1995;"Black Pearl";YES;-;NO;-;-;
madoumna;"Madou Monogatari A - Dokidoki Vacation (Jpn)";1995;"Compile";YES;-;NO;-;-;
madoumon;"Madou Monogatari I - 3-Tsu no Madoukyuu (Jpn)";1993;"Sega";YES;-;NO;-;-;
madoumn2;"Madou Monogatari II - Arle 16-Sai (Jpn)";1994;"Sega";YES;-;NO;-;-;
madoumn3a;"Madou Monogatari III - Kyuukyoku Joou-sama (Jpn, v0)";1994;"Sega";NO;madoumn3;YES;madoumn3;-;
madoumn3;"Madou Monogatari III - Kyuukyoku Joou-sama (Jpn, v1)";1994;"Sega";YES;-;NO;-;-;
rayearth;"Magic Knight Rayearth (Jpn)";1994;"Sega";YES;-;NO;-;-;
rayeart2;"Magic Knight Rayearth 2 - Making of Magic Knight (Jpn)";1995;"Sega";YES;-;NO;-;-;
magiclpp;"Magical Puzzle Popils (World)";1991;"Tengen";YES;-;NO;-;-;
mtaruru;"Magical Taruruuto-kun (Jpn)";1991;"Tsukuda Original";YES;-;NO;-;-;
mappy;"Mappy (Jpn)";1991;"Namcot";YES;-;NO;-;-;
marble;"Marble Madness (Euro, USA)";1992;"Tengen";YES;-;NO;-;-;
marko;"Marko's Magic Football (Euro)";1993;"Domark";YES;-;NO;-;-;
mastdark;"Master of Darkness (Euro)";1993;"Sega";YES;-;NO;-;-;
megaman;"Mega Man (Euro, USA)";1995;"U.S. Gold";YES;-;NO;-;-;
lastbibl;"Megami Tensei Gaiden - Last Bible (Jpn)";1994;"Sega";YES;-;NO;-;-;
lastbibs;"Megami Tensei Gaiden - Last Bible S (Jpn)";1995;"Sega";YES;-;NO;-;-;
mickmack;"Mick and Mack as the Global Gladiators (Euro, USA)";1992;"Virgin Interactive";YES;-;NO;-;-;
